Dataset:      Vertical 3He, Q2=0.5
Runs:   20890-21006
Run #	Bin3Up	Bin3Down	Tup	Tdn	BGLup	BGLdn	BGRup	BGRdn	RSup	RSdn	RBG
20890 287 1666 752 5737 5260 45298 4982 43147 27.355999999999995 27.355999999999995 699.99999999999989
20891 0 320 0 938 0 6894 0 6522 27.355999999999995 27.355999999999995 699.99999999999989
20893 2158 0 6757 0 51024 0 48892 0 27.355999999999995 27.355999999999995 699.99999999999989
20894 420 1397 1287 4382 9753 33062 9105 31833 27.355999999999995 27.355999999999995 699.99999999999989
20895 4365 5672 11688 16778 81212 123017 78009 118056 27.355999999999995 27.355999999999995 699.99999999999989
20896 1539 0 4026 0 27618 0 26457 0 27.355999999999995 27.355999999999995 699.99999999999989
20899 0 523 0 1270 0 8242 0 8232 27.355999999999995 27.355999999999995 699.99999999999989
20900 0 8 0 23 0 210 0 221 27.355999999999995 27.355999999999995 699.99999999999989
20901 3733 4817 9553 13736 64809 98727 61414 95229 27.355999999999995 27.355999999999995 699.99999999999989
20902 5713 5235 14914 14667 101427 104381 98104 100403 27.355999999999995 27.355999999999995 699.99999999999989
20916 0 4011 0 11490 0 82736 0 79981 27.355999999999995 27.355999999999995 699.99999999999989
20917 0 3785 0 11309 0 83250 0 79677 27.355999999999995 27.355999999999995 699.99999999999989
20918 0 3593 0 9701 0 67763 0 65021 27.355999999999995 27.355999999999995 699.99999999999989
20919 0 1012 0 2902 0 21133 0 20083 27.355999999999995 27.355999999999995 699.99999999999989
20920 0 10020 0 28770 0 208490 0 198644 27.355999999999995 27.355999999999995 699.99999999999989
20921 0 4685 0 13148 0 93755 0 90062 27.355999999999995 27.355999999999995 699.99999999999989
20922 6114 4919 15399 14237 103180 103409 98898 98905 27.355999999999995 27.355999999999995 699.99999999999989
20923 560 0 1433 0 9694 0 9489 0 27.355999999999995 27.355999999999995 699.99999999999989
20924 5573 5007 14759 14418 101545 104038 97533 100502 27.355999999999995 27.355999999999995 699.99999999999989
20925 6354 5110 16242 13795 109671 96443 104909 92406 27.355999999999995 27.355999999999995 699.99999999999989
20926 6324 5214 15735 14379 104507 102657 99779 96862 27.355999999999995 27.355999999999995 699.99999999999989
20927 4885 4121 12463 11543 83733 82355 81060 79345 27.355999999999995 27.355999999999995 699.99999999999989
20928 5832 5548 14481 15583 95920 111665 92133 106492 27.355999999999995 27.355999999999995 699.99999999999989
20931 8095 3234 20878 8898 141799 62666 135905 60135 27.355999999999995 27.355999999999995 699.99999999999989
20938 6253 1472 16027 4568 108354 34086 104455 33052 27.355999999999995 27.355999999999995 699.99999999999989
