Dataset:	Vertical 3He, Q2=0.5
Runs:	20890-21006
NuBin TotalUp TotalDown Bin1Up Bin1Down Bin2Up Bin2Down Bin3Up Bin3Down Bin4Up Bin4Down
0.087500000000000008 116246 80193 638439 572463 4375344 4190605 4194907 4009901 27.355999999999995 27.355999999999995 699.99999999999989
0.14999999999999999 4676 3784 15542 14218 120462 115743 115641 110915 27.355999999999995 27.355999999999995 699.99999999999989
0.20999999999999999 58356 45864 162648 145590 1156586 1107936 1107274 1058339 27.355999999999995 27.355999999999995 699.99999999999989
0.27000000000000002 128884 103622 327901 294053 2205143 2111646 2115213 2023916 27.355999999999995 27.355999999999995 699.99999999999989
0.32999999999999996 51756 41622 132348 118602 893153 855280 856779 816731 27.355999999999995 27.355999999999995 699.99999999999989
0.21249999999999999 24945 19440 70224 62754 502455 481634 480710 459298 27.355999999999995 27.355999999999995 699.99999999999989
0.23749999999999999 43676 34835 115418 103523 794541 762301 762918 729792 27.355999999999995 27.355999999999995 699.99999999999989
0.26250000000000001 55759 44460 141769 126726 953554 912364 913259 874298 27.355999999999995 27.355999999999995 699.99999999999989
0.28749999999999998 53836 43752 135583 121959 905370 866740 869397 831139 27.355999999999995 27.355999999999995 699.99999999999989
0.3125 43384 34970 110755 99314 747013 714532 715735 682952 27.355999999999995 27.355999999999995 699.99999999999989
0.33749999999999997 8375 6655 21593 19288 146140 140748 141044 133779 27.355999999999995 27.355999999999995 699.99999999999989
