# Magnetic form factor of the proton
# Chiral quark-soliton model in SU(3) 
# Pion asymptotics only 
# as in
# H.~C.~Kim, A.~Blotz, M.~V.~Polyakov and K.~Goeke,
# ``Electromagnetic form-factors of the SU(3) Octet 
#   baryons in the semibosonized SU(3) Nambu-Jona-Lasinio model,''
# Phys.\ Rev.\ D {\bf 53}, 4013 (1996)
# [arXiv:hep-ph/9504363].
#
# Q^2 in GeV^2   &    GMp (physical nuclear magnetons)
# Q2     GMp      GEp          GMn         GEn
0.00  1.772570    1.000000     -1.196390   0.0000000 
0.01  1.724190	  0.968162     -1.162880   0.0022076 
0.02  1.678090	  0.938332     -1.131000   0.0041331 
0.03  1.634070	  0.910140     -1.100620   0.0057983 
0.04  1.591970	  0.883368     -1.071600   0.0072387 
0.05  1.551630	  0.857876     -1.043840   0.0084898 
0.06  1.512940	  0.833554     -1.017240   0.0095820 
0.07  1.475770	  0.810316     -0.991725   0.0105401 
0.08  1.440040	  0.788081     -0.967224   0.0113829 
0.09  1.405660	  0.766781     -0.943669   0.0121255 
0.10  1.372530	  0.746347     -0.921002   0.0127808 
0.11  1.340590	  0.726724     -0.899172   0.0133586 
0.12  1.309780	  0.707859     -0.878129   0.0138679 
0.13  1.280030	  0.689705     -0.857831   0.0143167 
0.14  1.251290	  0.672221     -0.838237   0.0147115 
0.15  1.223500	  0.655370     -0.819310   0.0150589 
0.16  1.196620	  0.639118     -0.801016   0.0153640 
0.17  1.170600	  0.623434     -0.783323   0.0156317 
0.18  1.145400	  0.608290     -0.766203   0.0158659 
0.19  1.120990	  0.593659     -0.749629   0.0160703 
0.20  1.097330	  0.579516     -0.733574   0.0162478 
0.21  1.074390	  0.565837     -0.718016   0.0164011 
0.22  1.052130	  0.552603     -0.702932   0.0165324 
0.23  1.030530	  0.539791     -0.688302   0.0166438 
0.24  1.009550	  0.527382     -0.674105   0.0167368 
0.25  0.989178	  0.515360     -0.660325   0.0168133 
0.26  0.969383	  0.503705     -0.646943   0.0168746 
0.27  0.950143	  0.492404     -0.633944   0.0169219 
0.28  0.931437	  0.481441     -0.621312   0.0169567 
0.29  0.913243	  0.470803     -0.609032   0.0169798 
0.30  0.895542	  0.460475     -0.597091   0.0169924 
0.31  0.878315	  0.450447     -0.585476   0.0169954 
0.32  0.861546	  0.440706     -0.574175   0.0169898 
0.33  0.845217	  0.431241     -0.563176   0.0169763 
0.34  0.829313	  0.422042     -0.552467   0.0169556 
0.35  0.813818	  0.413100     -0.542039   0.0169283 
0.36  0.798719	  0.404404     -0.531881   0.0168952 
0.37  0.784000	  0.395946     -0.521983   0.0168565 
0.38  0.769650	  0.387716     -0.512338   0.0168130 
0.39  0.755656	  0.379707     -0.502935   0.0167647 
0.40  0.742006	  0.371911     -0.493766   0.0167123 
0.41  0.728688	  0.364321     -0.484825   0.0166560 
0.42  0.715692	  0.356928     -0.476102   0.0165962 
0.43  0.703007	  0.349727     -0.467591   0.0165330 
0.44  0.690623	  0.342711     -0.459285   0.0164667 
0.45  0.678531	  0.335873     -0.451178   0.0163977 
0.46  0.666721	  0.329208     -0.443263   0.0163261 
0.47  0.655185	  0.322709     -0.435533   0.0162522 
0.48  0.643914	  0.316372     -0.427984   0.0161761 
0.49  0.632901	  0.310191     -0.420609   0.0160980 
0.50  0.622137	  0.304162     -0.413403   0.0160182 
0.51  0.611615	  0.298279     -0.406361   0.0159368 
0.52  0.601327	  0.292537     -0.399479   0.0158540 
0.53  0.591268	  0.286934     -0.392750   0.0157699 
0.54  0.581429	  0.281464     -0.386171   0.0156847 
0.55  0.571806	  0.276123     -0.379738   0.0155985 
0.56  0.562391	  0.270908     -0.373446   0.0155115 
0.57  0.553179	  0.265815     -0.367290   0.0154237 
0.58  0.544163	  0.260839     -0.361268   0.0153353 
0.59  0.535340	  0.255979     -0.355376   0.0152462 
0.60  0.526702	  0.251229     -0.349609   0.0151566 
0.61  0.518246	  0.246588     -0.343964   0.0150668 
0.62  0.509966	  0.242052     -0.338438   0.0149766 
0.63  0.501857	  0.237617     -0.333027   0.0148859 
