       Q^2          GMp        GMn          GEp         GEn
---------------------------------------------------------------------
  0.            3.02137596  -2.17111906  1.           0.
  0.0114924623  2.87610357  -2.04354519  0.969773383  0.0128336609
  0.0229849246  2.74173916  -1.92632185  0.941089216  0.0244850122
  0.0344773869  2.61719211  -1.81838201  0.913834976  0.0350668384
  0.0459698492  2.50150584  -1.71879142  0.887908707  0.0446796567
  0.0574623116  2.39383851  -1.6267294  0.863217822  0.0534132445
  0.0689547739  2.29344683  -1.54147271  0.839678063  0.0613479509
  0.0804472362  2.19967248  -1.46238205  0.817212594  0.0685558277
  0.0919396985  2.11193066  -1.38889071  0.795751213  0.0751016072
  0.103432161  2.02970048  -1.32049492  0.775229658  0.081043549
  0.114924623  1.95251663  -1.25674569  0.755588993  0.086434177
  0.126417085  1.87996248  -1.19724188  0.736775076  0.0913209213
  0.137909548  1.811664  -1.1416242  0.718738086  0.095746679
  0.14940201  1.74728465  -1.08957014  0.7014321  0.0997503055
  0.160894472  1.68652091  -1.04078954  0.684814723  0.103367046
  0.172386935  1.62909847  -0.995020843  0.668846759  0.106628913
  0.183879397  1.5747689  -0.952027736  0.653491917  0.109565025
  0.195371859  1.52330675  -0.911596351  0.638716543  0.112201897
  0.206864322  1.47450704  -0.873532749  0.624489393  0.114563706
  0.218356784  1.42818305  -0.837660751  0.610781417  0.116672521
  0.229849246  1.38416437  -0.803820036  0.597565573  0.118548509
  0.241341709  1.34229526  -0.771864473  0.584816657  0.12021012
  0.252834171  1.3024331  -0.741660647  0.572511146  0.121674249
  0.264326633  1.2644471  -0.713086567  0.560627066  0.122956385
  0.275819095  1.22821714  -0.686030521  0.549143865  0.124070736
  0.287311558  1.1936327  -0.660390059  0.538042299  0.125030355
  0.29880402  1.160592  -0.6360711  0.527304328  0.125847235
  0.310296482  1.12900112  -0.612987126  0.516913029  0.126532413
  0.321788945  1.09877331  -0.591058473  0.506852506  0.127096048
  0.333281407  1.06982835  -0.570211695  0.497107815  0.1275475
  0.344773869  1.04209192  -0.550378995  0.487664895  0.127895402
  0.356266332  1.01549513  -0.531497717  0.4785105  0.128147718
  0.367758794  0.989973996  -0.513509889  0.469632146  0.128311801
  0.379251256  0.965469076  -0.496361813  0.461018054  0.128394447
  0.390743719  0.941925046  -0.480003697  0.452657101  0.128401937
  0.402236181  0.919290375  -0.46438932  0.444538774  0.128340082
  0.413728643  0.897517011  -0.449475734  0.436653131  0.128214261
  0.425221106  0.8765601  -0.435222991  0.428990764  0.128029454
  0.436713568  0.856377731  -0.421593901  0.421542757  0.127790278
  0.44820603  0.836930705  -0.408553803  0.414300662  0.12750101
  0.459698492  0.818182325  -0.396070369  0.407256465  0.127165619
  0.471190955  0.800098204  -0.384113419  0.400402556  0.126787787
  0.482683417  0.782646093  -0.37265475  0.393731711  0.12637093
  0.494175879  0.765795716  -0.361667989  0.38723706  0.125918224
  0.505668342  0.749518633  -0.351128451  0.380912071  0.125432615
  0.517160804  0.733788098  -0.341013016  0.374750526  0.124916843
  0.528653266  0.718578947  -0.331300006  0.368746505  0.124373456
  0.540145729  0.703867476  -0.321969088  0.362894366  0.12380482
  0.551638191  0.689631348  -0.313001169  0.357188732  0.123213139
  0.563130653  0.675849491  -0.304378312  0.351624472  0.12260046
  0.574623116  0.662502017  -0.296083653  0.346196689  0.121968692
  0.586115578  0.64957014  -0.288101324  0.340900708  0.121319607
  0.59760804  0.637036101  -0.280416385  0.335732061  0.120654858
  0.609100503  0.624883106  -0.273014763  0.330686477  0.119975983
  0.620592965  0.613095254  -0.265883189  0.32575987  0.119284413
  0.632085427  0.601657489  -0.259009146  0.320948333  0.118581482
  0.643577889  0.590555539  -0.252380819  0.316248123  0.117868431
  0.655070352  0.579775872  -0.245987052  0.311655656  0.117146418
  0.666562814  0.569305645  -0.239817296  0.307167498  0.116416519
  0.678055276  0.559132665  -0.233861582  0.302780356  0.115679737
  0.689547739  0.549245349  -0.228110475  0.298491073  0.114937006
  0.701040201  0.539632687  -0.222555043  0.29429662  0.114189197
  0.712532663  0.530284205  -0.217186826  0.290194087  0.11343712
  0.724025126  0.52118994  -0.211997808  0.286180682  0.112681528
  0.735517588  0.512340401  -0.206980388  0.282253722  0.111923123
  0.74701005  0.503726551  -0.202127353  0.278410629  0.111162559
  0.758502513  0.495339775  -0.197431861  0.274648924  0.110400444
  0.769994975  0.487171857  -0.19288741  0.270966223  0.109637342
  0.781487437  0.47921496  -0.188487826  0.267360232  0.108873779
  0.792979899  0.471461604  -0.18422724  0.263828743  0.108110244
  0.804472362  0.463904644  -0.180100069  0.26036963  0.107347191
  0.815964824  0.456537254  -0.176101003  0.256980846  0.106585041
  0.827457286  0.449352911  -0.172224988  0.253660418  0.105824185
  0.838949749  0.442345376  -0.16846721  0.250406446  0.105064985
  0.850442211  0.43550868  -0.164823085  0.247217096  0.104307778
  0.861934673  0.42883711  -0.161288241  0.244090599  0.103552876
  0.873427136  0.422325198  -0.157858513  0.241025252  0.102800566
  0.884919598  0.415967703  -0.154529925  0.238019407  0.102051114
  0.89641206  0.409759605  -0.151298686  0.235071476  0.101304767
  0.907904523  0.403696091  -0.148161174  0.232179924  0.100561752
  0.919396985  0.397772545  -0.145113933  0.22934327  0.0998222768
  0.930889447  0.391984537  -0.14215366  0.226560083  0.0990865344
  0.94238191  0.386327818  -0.139277198  0.223828977  0.0983547014
  0.953874372  0.380798307  -0.136481528  0.221148616  0.0976269396
  0.965366834  0.375392083  -0.133763764  0.218517706  0.0969033972
  0.976859296  0.370105381  -0.131121146  0.215934996  0.0961842095
  0.988351759  0.364934581  -0.128551029  0.213399276  0.0954694998
  0.999844221  0.359876202  -0.126050883  0.210909373  0.0947593801
  1.01133668  0.354926898  -0.123618285  0.208464154  0.0940539516
  1.02282915  0.350083446  -0.121250913  0.20606252  0.0933533059
  1.03432161  0.345342749  -0.118946541  0.20370341  0.092657525
  1.04581407  0.340701821  -0.116703036  0.201385792  0.0919666825
  1.05730653  0.336157788  -0.114518352  0.199108668  0.0912808437
  1.06879899  0.331707882  -0.112390526  0.196871071  0.0906000662
  1.08029146  0.327349435  -0.110317675  0.194672064  0.0899244007
  1.09178392  0.323079874  -0.108297992  0.192510736  0.0892538911
  1.10327638  0.31889672  -0.10632974  0.190386207  0.0885885749
  1.11476884  0.31479758  -0.104411252  0.188297621  0.087928484
  1.12626131  0.310780148  -0.102540927  0.186244149  0.0872736447
  1.13775377  0.306842195  -0.100717225  0.184224983  0.0866240781
  1.14924623  0.302981573  -0.0989386666  0.182239344  0.0859798008
  1.16073869  0.299196204  -0.0972038288  0.180286472  0.0853408247
  1.17223116  0.295484085  -0.0955113431  0.178365629  0.0847071576
  1.18372362  0.291843278  -0.0938598928  0.1764761  0.0840788034
  1.19521608  0.288271911  -0.0922482111  0.17461719  0.0834557624
  1.20670854  0.284768174  -0.090675078  0.172788223  0.0828380314
  1.21820101  0.281330318  -0.0891393194  0.170988542  0.0822256041
  1.22969347  0.277956651  -0.0876398042  0.16921751  0.0816184714
  1.24118593  0.274645536  -0.0861754428  0.167474505  0.0810166214
  1.25267839  0.271395391  -0.0847451853  0.165758924  0.0804200394
  1.26417085  0.268204681  -0.0833480199  0.16407018  0.0798287086
  1.27566332  0.265071923  -0.0819829709  0.162407703  0.0792426101
  1.28715578  0.261995681  -0.0806490979  0.160770938  0.0786617226
  1.29864824  0.258974563  -0.0793454933  0.159159343  0.0780860232
  1.3101407  0.256007222  -0.0780712821  0.157572394  0.0775154871
  1.32163317  0.253092352  -0.0768256194  0.156009578  0.0769500881
  1.33312563  0.250228687  -0.0756076901  0.154470397  0.0763897982
  1.34461809  0.247414999  -0.0744167072  0.152954365  0.0758345883
  1.35611055  0.244650101  -0.0732519107  0.151461011  0.0752844278
  1.36760302  0.241932838  -0.0721125666  0.149989874  0.0747392853
  1.37909548  0.239262092  -0.0709979659  0.148540506  0.0741991279
  1.39058794  0.236636777  -0.0699074235  0.14711247  0.073663922
  1.4020804  0.23405584  -0.0688402773  0.145705339  0.073133633
  1.41357286  0.231518259  -0.0677958871  0.1443187  0.0726082257
  1.42506533  0.229023041  -0.0667736343  0.142952148  0.0720876639
  1.43655779  0.226569224  -0.0657729204  0.141605288  0.071571911
  1.44805025  0.224155871  -0.0647931665  0.140277737  0.0710609295
  1.45954271  0.221782073  -0.0638338128  0.138969118  0.0705546818
  1.47103518  0.219446949  -0.0628943174  0.137679067  0.0700531294
  1.48252764  0.217149639  -0.0619741559  0.136407227  0.0695562336
  1.4940201  0.214889311  -0.0610728207  0.13515325  0.0690639555
  1.50551256  0.212665155  -0.0601898205  0.133916796  0.0685762555
  1.51700503  0.210476382  -0.0593246793  0.132697535  0.0680930942
  1.52849749  0.208322226  -0.0584769362  0.131495141  0.0676144316
  1.53998995  0.206201943  -0.0576461448  0.130309301  0.0671402276
  1.55148241  0.204114809  -0.0568318724  0.129139706  0.0666704422
  1.56297487  0.202060117  -0.0560336998  0.127986055  0.0662050351
  1.57446734  0.200037183  -0.0552512208  0.126848054  0.0657439659
  1.5859598  0.198045339  -0.0544840415  0.125725415  0.0652871942
  1.59745226  0.196083936  -0.0537317799  0.12461786  0.0648346797
  1.60894472  0.19415234  -0.0529940658  0.123525114  0.0643863819
  1.62043719  0.192249936  -0.0522705399  0.12244691  0.0639422605
  1.63192965  0.190376126  -0.051560854  0.121382985  0.0635022753
  1.64342211  0.188530323  -0.0508646698  0.120333086  0.0630663861
  1.65491457  0.186711961  -0.0501816595  0.119296961  0.0626345528
  1.66640704  0.184920485  -0.0495115046  0.118274368  0.0622067354
  1.6778995  0.183155354  -0.0488538961  0.117265067  0.0617828942
  1.68939196  0.181416042  -0.0482085339  0.116268826  0.0613629896
  1.70088442  0.179702038  -0.0475751269  0.115285416  0.0609469821
  1.71237688  0.17801284  -0.046953392  0.114314615  0.0605348324
  1.72386935  0.176347961  -0.0463430545  0.113356204  0.0601265014
  1.73536181  0.174706927  -0.0457438474  0.11240997  0.0597219505
  1.74685427  0.173089272  -0.0451555115  0.111475704  0.0593211408
  1.75834673  0.171494547  -0.0445777946  0.110553202  0.0589240342
  1.7698392  0.169922308  -0.0440104518  0.109642265  0.0585305924
  1.78133166  0.168372127  -0.0434532451  0.108742697  0.0581407776
  1.79282412  0.166843584  -0.042905943  0.107854307  0.0577545523
  1.80431658  0.165336268  -0.0423683206  0.106976908  0.0573718791
  1.81580905  0.16384978  -0.0418401588  0.106110316  0.056992721
  1.82730151  0.162383729  -0.041321245  0.105254352  0.0566170412
  1.83879397  0.160937736  -0.0408113721  0.10440884  0.0562448033
  1.85028643  0.159511427  -0.0403103388  0.103573609  0.0558759712
  1.86177889  0.158104439  -0.039817949  0.10274849  0.055510509
  1.87327136  0.156716417  -0.0393340122  0.101933318  0.0551483811
  1.88476382  0.155347016  -0.0388583426  0.101127932  0.0547895524
  1.89625628  0.153995896  -0.0383907599  0.100332174  0.0544339879
  1.90774874  0.152662727  -0.0379310879  0.0995458884  0.0540816529
  1.91924121  0.151347186  -0.0374791557  0.0987689236  0.0537325134
  1.93073367  0.150048956  -0.0370347965  0.0980011309  0.0533865351
  1.94222613  0.14876773  -0.036597848  0.0972423647  0.0530436846
  1.95371859  0.147503206  -0.036168152  0.0964924821  0.0527039285
  1.96521106  0.146255088  -0.0357455546  0.0957513432  0.0523672338
  1.97670352  0.145023089  -0.0353299056  0.0950188109  0.0520335678
  1.98819598  0.143806927  -0.034921059  0.0942947506  0.0517028982
  1.99968844  0.142606325  -0.0345188722  0.0935790306  0.0513751929
  2.0111809  0.141421016  -0.0341232065  0.0928715216  0.0510504204
  2.02267337  0.140250734  -0.0337339264  0.0921720971  0.0507285491
  2.03416583  0.139095223  -0.0333509001  0.0914806327  0.050409548
  2.04565829  0.137954229  -0.032973999  0.0907970066  0.0500933865
  2.05715075  0.136827507  -0.0326030978  0.0901210995  0.0497800341
  2.06864322  0.135714814  -0.032238074  0.0894527941  0.0494694607
  2.08013568  0.134615914  -0.0318788085  0.0887919756  0.0491616366
  2.09162814  0.133530576  -0.031525185  0.0881385311  0.0488565323
  2.1031206  0.132458573  -0.03117709  0.0874923501  0.0485541188
  2.11461307  0.131399685  -0.0308344129  0.0868533241  0.0482543672
  2.12610553  0.130353693  -0.0304970456  0.0862213467  0.047957249
