	
%%%%%%%%%%%%%%%%%%%%%%%%%% G_M^p %%%%%%%%%%%
#Curve 0, 100 points
#x y type
#Q^2 [GeV^2]	G_M^p
0.0001		2.73893	
0.030402	2.46977	
0.060704	2.24504	
0.0910061	2.05475	
0.121308	1.88959	
0.15161		1.74445	
0.181912	1.61665	
0.212214	1.50357	
0.242516	1.40257	
0.272818	1.31116	
0.30312		1.22802	
0.333422	1.15242	
0.363724	1.08367	
0.394026	1.02103	
0.424328	0.963793	
0.45463		0.91125	
0.484932	0.862682	
0.515234	0.817388	
0.545536	0.774944	
0.575838	0.735208	
0.60614		0.698047	
0.636442	0.663328	
0.666744	0.63092	
0.697046	0.600689	
0.727348	0.572504	
0.757651	0.546233	
0.787953	0.521743	
0.818255	0.498902	
0.848557	0.477578	
0.878859	0.457638	
0.909161	0.43895	
0.939463	0.421382	
0.969765	0.404802	
1.00007		0.389078	
1.03037		0.374095	
1.06067		0.359809	
1.09097		0.346196	
1.12127		0.333229	
1.15158		0.320883	
1.18188		0.309133	
1.21218		0.297952	
1.24248		0.287316	
1.27278		0.277198	
1.30309		0.267573	
1.33339		0.258416	
1.36369		0.2497	
1.39399		0.241401	
1.42429		0.233492	
1.4546		0.225948	
1.4849		0.218744	
1.5152		0.211853	
1.5455		0.205258	
1.57581		0.198947	
1.60611		0.19291	
1.63641		0.187134	
1.66671		0.181608	
1.69701		0.176321	
1.72732		0.171263	
1.75762		0.166422	
1.78792		0.161786	
1.81822		0.157344	
1.84852		0.153086	
1.87883		0.148999	
1.90913		0.145074	
1.93943		0.141298	
1.96973		0.13766	
2.00003		0.134149	
2.03034		0.130755	
2.06064		0.127475	
2.09094		0.124304	
2.12124		0.121241	
2.15154		0.118281	
2.18185		0.115423	
2.21215		0.112663	
2.24245		0.109998	
2.27275		0.107425	
2.30305		0.104942	
2.33336		0.102545	
2.36366		0.100231	
2.39396		0.0979985	
2.42426		0.0958432	
2.45456		0.0937625	
2.48487		0.0917535	
2.51517		0.0898132	
2.54547		0.087938	
2.57577		0.0861241	
2.60607		0.0843672	
2.63638		0.0826632	
2.66668		0.0810082	
2.69698		0.0793981	
2.72728		0.0778287	
2.75758		0.076296	
2.78789		0.0747959	
2.81819		0.0733243	
2.84849		0.0718772	
2.87879		0.0704505	
2.90909		0.06904	
2.9394		0.0676418	
2.9697		0.0662518	
3		0.0648658	






