	
%%%%%%%%%%%%%%%%%%%%%%%% G_E^n %%%%%%%%%%%%%%%
#Curve 0, 100 points
#x y type
#Q^2 [GeV^2]	G_E^n
0.0001		7.76404e-05	
0.030402	0.020587	
0.060704	0.0368379	
0.0910061	0.0499368	
0.121308	0.060796	
0.15161		0.0698564	
0.181912	0.0772834	
0.212214	0.083239	
0.242516	0.087885	
0.272818	0.091384	
0.30312		0.0939041	
0.333422	0.0956162	
0.363724	0.0966913	
0.394026	0.0973003	
0.424328	0.0976009	
0.45463		0.0976543	
0.484932	0.0974785	
0.515234	0.0970916	
0.545536	0.0965196	
0.575838	0.0957959	
0.60614		0.0949543	
0.636442	0.0940227	
0.666744	0.0930158	
0.697046	0.0919469	
0.727348	0.0908282	
0.757651	0.0896671	
0.787953	0.0884695	
0.818255	0.0872415	
0.848557	0.0859889	
0.878859	0.0847176	
0.909161	0.0834335	
0.939463	0.0821426	
0.969765	0.0808508	
1.00007		0.0795641	
1.03037		0.0782873	
1.06067		0.0770218	
1.09097		0.0757681	
1.12127		0.0745266	
1.15158		0.0732975	
1.18188		0.0720815	
1.21218		0.0708788	
1.24248		0.0696899	
1.27278		0.0685152	
1.30309		0.067355	
1.33339		0.0662099	
1.36369		0.0650802	
1.39399		0.0639663	
1.42429		0.0628686	
1.4546		0.0617876	
1.4849		0.0607235	
1.5152		0.059677	
1.5455		0.058648	
1.57581		0.0576364	
1.60611		0.0566421	
1.63641		0.0556649	
1.66671		0.0547047	
1.69701		0.0537613	
1.72732		0.0528346	
1.75762		0.0519244	
1.78792		0.0510305	
1.81822		0.0501528	
1.84852		0.0492912	
1.87883		0.0484455	
1.90913		0.0476155	
1.93943		0.0468011	
1.96973		0.0460022	
2.00003		0.0452185	
2.03034		0.04445	
2.06064		0.0436966	
2.09094		0.0429581	
2.12124		0.0422344	
2.15154		0.0415255	
2.18185		0.0408313	
2.21215		0.0401516	
2.24245		0.0394864	
2.27275		0.0388356	
2.30305		0.0381991	
2.33336		0.0375767	
2.36366		0.0369685	
2.39396		0.0363742	
2.42426		0.0357939	
2.45456		0.0352274	
2.48487		0.0346746	
2.51517		0.0341355	
2.54547		0.0336094	
2.57577		0.0330957	
2.60607		0.0325936	
2.63638		0.0321021	
2.66668		0.0316205	
2.69698		0.031148	
2.72728		0.0306837	
2.75758		0.0302268	
2.78789		0.0297765	
2.81819		0.029332	
2.84849		0.0288923	
2.87879		0.0284568	
2.90909		0.0280246	
2.9394		0.0275949	
2.9697		0.0271668	
3		0.0267395	






