	
%%%%%%%%%%%%%%%%%%%%%%%%%%%%% G_M^n %%%%%%%%%%%%%%
#Curve 0, 100 points
#x y type
#Q^2 [GeV^2]	G_M^n
0.0001		-1.70151	
0.030402	-1.55161	
0.060704	-1.42315	
0.0910061	-1.31217	
0.121308	-1.21494	
0.15161		-1.12912	
0.181912	-1.05318	
0.212214	-0.985626	
0.242516	-0.92495	
0.272818	-0.869723	
0.30312		-0.819201	
0.333422	-0.772988	
0.363724	-0.730694	
0.394026	-0.691924	
0.424328	-0.656288	
0.45463		-0.623391	
0.484932	-0.592843	
0.515234	-0.564258	
0.545536	-0.537399	
0.575838	-0.512182	
0.60614		-0.488528	
0.636442	-0.466358	
0.666744	-0.445591	
0.697046	-0.426151	
0.727348	-0.407956	
0.757651	-0.390929	
0.787953	-0.37499	
0.818255	-0.360059	
0.848557	-0.346059	
0.878859	-0.332909	
0.909161	-0.320531	
0.939463	-0.308846	
0.969765	-0.297774	
1.00007		-0.287236	
1.03037		-0.277165	
1.06067		-0.267533	
1.09097		-0.258326	
1.12127		-0.249527	
1.15158		-0.241122	
1.18188		-0.233095	
1.21218		-0.22543	
1.24248		-0.218111	
1.27278		-0.211124	
1.30309		-0.204452	
1.33339		-0.19808	
1.36369		-0.191993	
1.39399		-0.186175	
1.42429		-0.180611	
1.4546		-0.175284	
1.4849		-0.17018	
1.5152		-0.165283	
1.5455		-0.160582	
1.57581		-0.156069	
1.60611		-0.151737	
1.63641		-0.147579	
1.66671		-0.143588	
1.69701		-0.139756	
1.72732		-0.136077	
1.75762		-0.132543	
1.78792		-0.129147	
1.81822		-0.125882	
1.84852		-0.12274	
1.87883		-0.119715	
1.90913		-0.116799	
1.93943		-0.113985	
1.96973		-0.111266	
2.00003		-0.108635	
2.03034		-0.106085	
2.06064		-0.103613	
2.09094		-0.101218	
2.12124		-0.0988986	
2.15154		-0.0966517	
2.18185		-0.0944759	
2.21215		-0.0923693	
2.24245		-0.0903301	
2.27275		-0.0883565	
2.30305		-0.0864464	
2.33336		-0.0845982	
2.36366		-0.0828098	
2.39396		-0.0810795	
2.42426		-0.0794053	
2.45456		-0.0777854	
2.48487		-0.076218	
2.51517		-0.074701	
2.54547		-0.0732322	
2.57577		-0.0718085	
2.60607		-0.0704268	
2.63638		-0.0690843	
2.66668		-0.0677779	
2.69698		-0.0665045	
2.72728		-0.0652612	
2.75758		-0.064045	
2.78789		-0.0628528	
2.81819		-0.0616817	
2.84849		-0.0605286	
2.87879		-0.0593906	
2.90909		-0.0582646	
2.9394		-0.0571476	
2.9697		-0.0560366	
3		-0.0549286	






