ratio = GMp(0) * GEp / GMp

   Q2             ratio
0.00000    1.0007
0.01000    1.0017
0.02000    1.0009
0.03000    1.0011
0.04000    1.0006
0.05000    0.99825
0.06000    0.99888
0.07000    0.99717
0.08000    0.99823
0.09000    0.99448
0.10000    0.99381
0.15000    0.98683
0.20000    0.97997
0.25000    0.97375
0.30000    0.96071
0.35000    0.95512
0.40000    0.94448
0.45000    0.93598
0.50000    0.92681
0.55000    0.91610
0.60000    0.90997
0.65000    0.89915
0.70000    0.88807
0.75000    0.88176
0.80000    0.87177
0.85000    0.86031
0.90000    0.85365
0.95000    0.84191
1.0000     0.83485
2.0000     0.65926
3.0000     0.48760
4.0000     0.33250
5.0000     0.18513


   Q2         GEp       GMp          GEn         GMn
0.000000    1.00070    3.5956     0.000000     -2.3120
0.010000    0.98432    3.5333     0.0016938    -2.2747
0.020000    0.96862    3.4796     0.0033339    -2.2378
0.030000    0.95366    3.4251     0.0049249    -2.2046
0.040000    0.93957    3.3764     0.0064576    -2.1709
0.050000    0.92498    3.3317     0.0079547    -2.1402
0.060000    0.91198    3.2828     0.0094044    -2.1116
0.070000    0.89855    3.2400     0.010822     -2.0831
0.080000    0.88729    3.1960     0.012197     -2.0557
0.090000    0.87273    3.1554     0.013518     -2.0278
0.10000     0.86128    3.1161     0.014836     -2.0028
0.15000     0.80602    2.9368     0.020880     -1.8861
0.20000     0.75771    2.7801     0.026257     -1.7854
0.25000     0.71612    2.6443     0.031099     -1.6986
0.30000     0.67546    2.5280     0.035429     -1.6208
0.35000     0.64180    2.4161     0.039404     -1.5489
0.40000     0.60896    2.3183     0.043013     -1.4861
0.45000     0.58013    2.2286     0.046349     -1.4281
0.50000     0.55285    2.1448     0.049411     -1.3745
0.55000     0.52771    2.0712     0.052229     -1.3259
0.60000     0.50578    1.9985     0.054859     -1.2806
0.65000     0.48361    1.9339     0.057294     -1.2395
0.70000     0.46340    1.8762     0.059494     -1.2003
0.75000     0.44566    1.8173     0.061621     -1.1651
0.80000     0.42757    1.7635     0.063533     -1.1312
0.85000     0.41020    1.7144     0.065364     -1.0971
0.90000     0.39577    1.6670     0.067055     -1.0667
0.95000     0.38033    1.6243     0.068595     -1.0379
1.00000     0.36676    1.5796     0.070117     -1.0104
2.00000     0.18845    1.0278     0.085903     -0.65711
3.00000     0.10247    0.75562    0.089195     -0.47692
4.00000     0.054099   0.58501    0.088916     -0.37035
5.00000     0.024300   0.47196    0.085820     -0.29893

