
ratio = GMp(0) * GEp / GMp

  Q2         GEp       GMp        ratio       GEn         GMn
0.00000    0.99977    2.79270    0.99988    0.00000    -1.91430
0.05000    0.87070    2.42450    1.00304    0.01042    -1.68560
0.10000    0.76411    2.12780    1.00299    0.01983    -1.49560
0.15000    0.67527    1.88540    1.00033    0.02770    -1.33370
0.20000    0.60428    1.68320    1.00271    0.03388    -1.19610
0.25000    0.54166    1.51120    1.00110    0.03873    -1.07760
0.30000    0.48879    1.36850    0.99758    0.04257    -0.97646
0.35000    0.44297    1.24510    0.99367    0.04522    -0.88842
0.40000    0.40337    1.13940    0.98878    0.04727    -0.81171
0.45000    0.36795    1.04590    0.98258    0.04884    -0.74451
0.50000    0.33754    0.96293    0.97904    0.04973    -0.68501
0.55000    0.31078    0.89121    0.97397    0.05018    -0.63227
0.60000    0.28619    0.82739    0.96608    0.05047    -0.58555
0.65000    0.26485    0.77020    0.96043    0.05047    -0.54331
0.70000    0.24571    0.71866    0.95493    0.05041    -0.50594
0.75000    0.22801    0.67228    0.94727    0.05008    -0.47180
0.80000    0.21228    0.63073    0.94002    0.04963    -0.44097
0.85000    0.19783    0.59259    0.93241    0.04902    -0.41302
0.90000    0.18477    0.55805    0.92476    0.04848    -0.38751
0.95000    0.17303    0.52602    0.91873    0.04791    -0.36423
1.00000    0.16220    0.49706    0.91141    0.04723    -0.34268
1.20000    0.12727    0.40267    0.88277    0.04419    -0.27312
1.40000    0.10189    0.33240    0.85613    0.04119    -0.22206
1.60000    0.08285    0.27917    0.82888    0.03844    -0.18365
1.80000    0.06818    0.23716    0.80301    0.03595    -0.15388
2.00000    0.05707    0.20453    0.77933    0.03364    -0.13022
2.20000    0.04821    0.17787    0.75695    0.03156    -0.11161
2.40000    0.04100    0.15603    0.73388    0.02959    -0.09638
2.60000    0.03529    0.13723    0.71831    0.02791    -0.08376
2.80000    0.03051    0.12236    0.69640    0.02629    -0.07342
3.00000    0.02652    0.10966    0.67535    0.02492    -0.06510
3.20000    0.02343    0.09848    0.66459    0.02362    -0.05756
3.40000    0.02069    0.08902    0.64924    0.02243    -0.05131
3.60000    0.01841    0.08079    0.63660    0.02141    -0.04611
3.80000    0.01649    0.07372    0.62463    0.02029    -0.04129
4.00000    0.01479    0.06736    0.61312    0.01954    -0.03721
4.20000    0.01316    0.06210    0.59196    0.01864    -0.03365
4.40000    0.01189    0.05700    0.58274    0.01794    -0.03039
4.60000    0.01085    0.05271    0.57510    0.01706    -0.02757
4.80000    0.00983    0.04883    0.56234    0.01633    -0.02521
5.00000    0.00914    0.04530    0.56328    0.01573    -0.02303
5.50000    0.00751    0.03797    0.55216    0.01425    -0.01847
6.00000    0.00624    0.03233    0.53957    0.01308    -0.01525

