# Goeckeler form factor Lattice calculation for mu_p GEp/GMp
#  Q2              central         lower          upper
  0.00000000E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.35000000E-01  0.97496135E+00  0.96296108E+00  0.98696162E+00
  0.70000000E-01  0.95262553E+00  0.93007732E+00  0.97517374E+00
  0.10500000E+00  0.93258116E+00  0.90069656E+00  0.96446575E+00
  0.14000000E+00  0.91449574E+00  0.87429495E+00  0.95469653E+00
  0.17500000E+00  0.89809775E+00  0.85044710E+00  0.94574840E+00
  0.21000000E+00  0.88316329E+00  0.82880414E+00  0.93752244E+00
  0.24500000E+00  0.86950619E+00  0.80907741E+00  0.92993497E+00
  0.28000000E+00  0.85697039E+00  0.79102608E+00  0.92291470E+00
  0.31500000E+00  0.84542412E+00  0.77444772E+00  0.91640051E+00
  0.35000000E+00  0.83475536E+00  0.75917097E+00  0.91033976E+00
  0.38500000E+00  0.82486833E+00  0.74504984E+00  0.90468683E+00
  0.42000000E+00  0.81568062E+00  0.73195925E+00  0.89940199E+00
  0.45500000E+00  0.80712095E+00  0.71979137E+00  0.89445053E+00
  0.49000000E+00  0.79912738E+00  0.70845284E+00  0.88980192E+00
  0.52500000E+00  0.79164581E+00  0.69786236E+00  0.88542927E+00
  0.56000000E+00  0.78462882E+00  0.68794888E+00  0.88130875E+00
  0.59500000E+00  0.77803461E+00  0.67864999E+00  0.87741923E+00
  0.63000000E+00  0.77182626E+00  0.66991070E+00  0.87374182E+00
  0.66500000E+00  0.76597100E+00  0.66168232E+00  0.87025967E+00
  0.70000000E+00  0.76043965E+00  0.65392164E+00  0.86695766E+00
  0.73500000E+00  0.75520617E+00  0.64659016E+00  0.86382218E+00
  0.77000000E+00  0.75024721E+00  0.63965345E+00  0.86084096E+00
  0.80500000E+00  0.74554179E+00  0.63308068E+00  0.85800290E+00
  0.84000000E+00  0.74107103E+00  0.62684410E+00  0.85529795E+00
  0.87500000E+00  0.73681785E+00  0.62091872E+00  0.85271697E+00
  0.91000000E+00  0.73276679E+00  0.61528194E+00  0.85025163E+00
  0.94500000E+00  0.72890382E+00  0.60991330E+00  0.84789435E+00
  0.98000000E+00  0.72521619E+00  0.60479421E+00  0.84563817E+00
  0.10150000E+01  0.72169224E+00  0.59990775E+00  0.84347674E+00
  0.10500000E+01  0.71832135E+00  0.59523849E+00  0.84140421E+00
  0.10850000E+01  0.71509379E+00  0.59077235E+00  0.83941523E+00
  0.11200000E+01  0.71200062E+00  0.58649641E+00  0.83750483E+00
  0.11550000E+01  0.70903364E+00  0.58239884E+00  0.83566845E+00
  0.11900000E+01  0.70618531E+00  0.57846874E+00  0.83390189E+00
  0.12250000E+01  0.70344866E+00  0.57469610E+00  0.83220123E+00
  0.12600000E+01  0.70081727E+00  0.57107168E+00  0.83056286E+00
  0.12950000E+01  0.69828519E+00  0.56758695E+00  0.82898342E+00
  0.13300000E+01  0.69584691E+00  0.56423403E+00  0.82745979E+00
  0.13650000E+01  0.69349732E+00  0.56100559E+00  0.82598906E+00
  0.14000000E+01  0.69123169E+00  0.55789486E+00  0.82456852E+00
  0.14350000E+01  0.68904561E+00  0.55489555E+00  0.82319566E+00
  0.14700000E+01  0.68693495E+00  0.55200178E+00  0.82186812E+00
  0.15050000E+01  0.68489590E+00  0.54920812E+00  0.82058368E+00
  0.15400000E+01  0.68292487E+00  0.54650946E+00  0.81934028E+00
  0.15750000E+01  0.68101852E+00  0.54390105E+00  0.81813599E+00
  0.16100000E+01  0.67917373E+00  0.54137847E+00  0.81696899E+00
  0.16450000E+01  0.67738757E+00  0.53893755E+00  0.81583758E+00
  0.16800000E+01  0.67565728E+00  0.53657441E+00  0.81474016E+00
  0.17150000E+01  0.67398030E+00  0.53428539E+00  0.81367521E+00
  0.17500000E+01  0.67235420E+00  0.53206708E+00  0.81264131E+00
  0.17850000E+01  0.67077670E+00  0.52991626E+00  0.81163714E+00
  0.18200000E+01  0.66924566E+00  0.52782989E+00  0.81066142E+00
  0.18550000E+01  0.66775905E+00  0.52580515E+00  0.80971296E+00
  0.18900000E+01  0.66631499E+00  0.52383933E+00  0.80879064E+00
  0.19250000E+01  0.66491166E+00  0.52192992E+00  0.80789340E+00
  0.19600000E+01  0.66354736E+00  0.52007452E+00  0.80702021E+00
  0.19950000E+01  0.66222051E+00  0.51827088E+00  0.80617014E+00
  0.20300000E+01  0.66092957E+00  0.51651687E+00  0.80534226E+00
  0.20650000E+01  0.65967311E+00  0.51481048E+00  0.80453574E+00
  0.21000000E+01  0.65844977E+00  0.51314980E+00  0.80374974E+00
  0.21350000E+01  0.65725825E+00  0.51153301E+00  0.80298350E+00
  0.21700000E+01  0.65609734E+00  0.50995840E+00  0.80223628E+00
  0.22050000E+01  0.65496587E+00  0.50842436E+00  0.80150739E+00
  0.22400000E+01  0.65386274E+00  0.50692933E+00  0.80079615E+00
  0.22750000E+01  0.65278689E+00  0.50547184E+00  0.80010193E+00
  0.23100000E+01  0.65173732E+00  0.50405051E+00  0.79942413E+00
  0.23450000E+01  0.65071309E+00  0.50266401E+00  0.79876218E+00
  0.23800000E+01  0.64971330E+00  0.50131108E+00  0.79811551E+00
  0.24150000E+01  0.64873706E+00  0.49999050E+00  0.79748362E+00
  0.24500000E+01  0.64778358E+00  0.49870115E+00  0.79686601E+00
  0.24850000E+01  0.64685205E+00  0.49744192E+00  0.79626218E+00
  0.25200000E+01  0.64594173E+00  0.49621178E+00  0.79567169E+00
  0.25550000E+01  0.64505191E+00  0.49500972E+00  0.79509409E+00
  0.25900000E+01  0.64418190E+00  0.49383481E+00  0.79452898E+00
  0.26250000E+01  0.64333104E+00  0.49268613E+00  0.79397595E+00
  0.26600000E+01  0.64249872E+00  0.49156282E+00  0.79343462E+00
  0.26950000E+01  0.64168433E+00  0.49046404E+00  0.79290462E+00
  0.27300000E+01  0.64088730E+00  0.48938901E+00  0.79238559E+00
  0.27650000E+01  0.64010708E+00  0.48833695E+00  0.79187721E+00
  0.28000000E+01  0.63934315E+00  0.48730715E+00  0.79137914E+00
  0.28350000E+01  0.63859500E+00  0.48629891E+00  0.79089108E+00
  0.28700000E+01  0.63786214E+00  0.48531156E+00  0.79041273E+00
  0.29050000E+01  0.63714412E+00  0.48434445E+00  0.78994380E+00
  0.29400000E+01  0.63644049E+00  0.48339697E+00  0.78948401E+00
  0.29750000E+01  0.63575082E+00  0.48246854E+00  0.78903311E+00
  0.30100000E+01  0.63507470E+00  0.48155857E+00  0.78859083E+00
  0.30450000E+01  0.63441173E+00  0.48066653E+00  0.78815693E+00
  0.30800000E+01  0.63376154E+00  0.47979190E+00  0.78773117E+00
  0.31150000E+01  0.63312375E+00  0.47893417E+00  0.78731334E+00
  0.31500000E+01  0.63249802E+00  0.47809285E+00  0.78690320E+00
  0.31850000E+01  0.63188401E+00  0.47726748E+00  0.78650055E+00
