# Magnetic form factor of the proton
# Chiral quark-soliton model in SU(3) 
# (Pion asymptotics for u and d quarks and kaon asymptotics for s quarks)
# unpublished
#
# Q^2 in GeV^2   &    GMp (physical nuclear magnetons)
# Q2    GMp        GEp        GMn         GEn
0.00  1.758750    1.000000  -1.210210   0.0000000 
0.01  1.711050	  0.969902  -1.176020   0.0039481 
0.02  1.665550	  0.941678  -1.143540   0.0074790 
0.03  1.622080	  0.914873  -1.112610   0.0105307 
0.04  1.580470	  0.889294  -1.083090   0.0131642 
0.05  1.540590	  0.864846  -1.054880   0.0154602 
0.06  1.502310	  0.841456  -1.027870   0.0174840 
0.07  1.465530	  0.819055  -1.001970   0.0192796 
0.08  1.430140	  0.797573  -0.977122   0.0208743 
0.09  1.396080	  0.776941  -0.953245   0.0222865 
0.10  1.363250	  0.757097  -0.930281   0.0235312 
0.11  1.331590	  0.737988  -0.908173   0.0246228 
0.12  1.301040	  0.719567  -0.886873   0.0255765 
0.13  1.271530	  0.701797  -0.866334   0.0264082 
0.14  1.243010	  0.684643  -0.846514   0.0271331 
0.15  1.215430	  0.668077  -0.827375   0.0277657 
0.16  1.188750	  0.652073  -0.808882   0.0283186 
0.17  1.162920	  0.636604  -0.791003   0.0288019 
0.18  1.137900	  0.621648  -0.773706   0.0292235 
0.19  1.113660	  0.607178  -0.756964   0.0295898 
0.20  1.090160	  0.593173  -0.740751   0.0299050 
0.21  1.067360	  0.579609  -0.725043   0.0301725 
0.22  1.045250	  0.566465  -0.709816   0.0303951 
0.23  1.023780	  0.553722  -0.695050   0.0305751 
0.24  1.002930	  0.541361  -0.680724   0.0307151 
0.25  0.982683	  0.529364  -0.666820   0.0308176 
0.26  0.963007	  0.517716  -0.653319   0.0308856 
0.27  0.943881	  0.506404  -0.640206   0.0309220 
0.28  0.925283	  0.495415  -0.627465   0.0309302 
0.29  0.907194	  0.484736  -0.615081   0.0309132 
0.30  0.889593	  0.474357  -0.603040   0.0308742 
0.31  0.872464	  0.464267  -0.591328   0.0308160 
0.32  0.855788	  0.454457  -0.579933   0.0307414 
0.33  0.839550	  0.444917  -0.568844   0.0306524 
0.34  0.823733	  0.435638  -0.558048   0.0305509 
0.35  0.808322	  0.426610  -0.547535   0.0304384 
0.36  0.793304	  0.417825  -0.537296   0.0303158 
0.37  0.778665	  0.409273  -0.527319   0.0301839 
0.38  0.764391	  0.400947  -0.517597   0.0300435 
0.39  0.750472	  0.392837  -0.508119   0.0298944 
0.40  0.736894	  0.384936  -0.498878   0.0297373 
0.41  0.723646	  0.377237  -0.489866   0.0295721 
0.42  0.710719	  0.369732  -0.481075   0.0293993 
0.43  0.698101	  0.362413  -0.472497   0.0292190 
0.44  0.685782	  0.355276  -0.464126   0.0290315 
0.45  0.673754	  0.348313  -0.455955   0.0288373 
0.46  0.662006	  0.341519  -0.447977   0.0286371 
0.47  0.650531	  0.334888  -0.440187   0.0284314 
0.48  0.639320	  0.328417  -0.432578   0.0282208 
0.49  0.628364	  0.322099  -0.425145   0.0280062 
0.50  0.617657	  0.315932  -0.417883   0.0277884 
0.51  0.607191	  0.309910  -0.410785   0.0275679 
0.52  0.596958	  0.304029  -0.403848   0.0273456 
0.53  0.586952	  0.298286  -0.397066   0.0271221 
0.54  0.577166	  0.292677  -0.390435   0.0268980 
0.55  0.567594	  0.287198  -0.383950   0.0266737 
0.56  0.558230	  0.281846  -0.377607   0.0264497 
0.57  0.549067	  0.276617  -0.371402   0.0262262 
0.58  0.540101	  0.271507  -0.365331   0.0260034 
0.59  0.531326	  0.266514  -0.359390   0.0257813 
0.60  0.522735	  0.261633  -0.353575   0.0255602 
0.61  0.514326	  0.256861  -0.347884   0.0253399 
0.62  0.506091	  0.252196  -0.342312   0.0251204 
0.63  0.498027	  0.247633  -0.336856   0.0249014 
0.64  0.490130	  0.243170  -0.331514   0.0246831 
0.65  0.482394	  0.238804  -0.326281   0.0244652 
0.66  0.474815	  0.234532  -0.321156   0.0242476 
0.67  0.467390	  0.230351  -0.316134   0.0240303 
0.68  0.460114	  0.226259  -0.311215   0.0238132 
0.69  0.452983	  0.222252  -0.306394   0.0235964 
0.70  0.445994	  0.218330  -0.301669   0.0233799 
0.71  0.439143	  0.214490  -0.297038   0.0231637 
0.72  0.432426	  0.210729  -0.292498   0.0229481 
0.73  0.425841	  0.207045  -0.288047   0.0227330 
0.74  0.419383	  0.203437  -0.283683   0.0225186 
0.75  0.413051	  0.199903  -0.279404   0.0223053 
0.76  0.406839	  0.196442  -0.275207   0.0220932 
0.77  0.400747	  0.193050  -0.271090   0.0218824 
0.78  0.394770	  0.189728  -0.267052   0.0216730 
0.79  0.388906	  0.186472  -0.263090   0.0214655 
0.80  0.383153	  0.183283  -0.259203   0.0212598 
0.81  0.377507	  0.180158  -0.255389   0.0210562 
0.82  0.371966	  0.177095  -0.251646   0.0208548 
0.83  0.366527	  0.174094  -0.247973   0.0206555 
0.84  0.361189	  0.171153  -0.244367   0.0204586 
0.85  0.355949	  0.168270  -0.240827   0.0202639 
0.86  0.350804	  0.165445  -0.237352   0.0200716 
0.87  0.345752	  0.162675  -0.233940   0.0198815 
0.88  0.340792	  0.159960  -0.230589   0.0196937 
0.89  0.335921	  0.157297  -0.227299   0.0195081 
0.90  0.331137	  0.154687  -0.224068   0.0193245 
0.91  0.326438	  0.152127  -0.220894   0.0191429 
0.92  0.321822	  0.149615  -0.217777   0.0189633 
0.93  0.317288	  0.147152  -0.214714   0.0187853 
0.94  0.312833	  0.144736  -0.211706   0.0186090 
0.95  0.308456	  0.142365  -0.208750   0.0184345 
0.96  0.304155	  0.140038  -0.205845   0.0182614 
0.97  0.299929	  0.137755  -0.202990   0.0180897 
0.98  0.295775	  0.135514  -0.200185   0.0179195 
0.99  0.291693	  0.133314  -0.197428   0.0177504 
1.00  0.287681	  0.131155  -0.194717   0.0175828 
