       Q^2          GMp        GMn          GEp         GEn
---------------------------------------------------------------------
  0.            2.56631167  -1.71605476  1.           0.
  0.0114924623  2.43536335  -1.60280497  0.966551853  0.0108619509
  0.0229849246  2.3146739  -1.49925659  0.934922597  0.0206616623
  0.0344773869  2.20317543  -1.40436533  0.904973283  0.0295046594
  0.0459698492  2.09993684  -1.31722241  0.876578569  0.0374846844
  0.0574623116  2.00414319  -1.23703407  0.849625115  0.0446851875
  0.0689547739  1.91507869  -1.16310456  0.824010187  0.051180606
  0.0804472362  1.83211247  -1.09482205  0.799640466  0.0570374642
  0.0919396985  1.75468675  -1.0316468  0.776430992  0.0623153238
  0.103432161  1.68230681  -0.97310125  0.754304266  0.0670676047
  0.114924623  1.6145326  -0.918761659  0.733189449  0.0713422989
  0.126417085  1.55097161  -0.868251011  0.713021671  0.0751825902
  0.137909548  1.4912728  -0.821233004  0.693741418  0.078627395
  0.14940201  1.43512142  -0.777406912  0.675293992  0.0817118354
  0.160894472  1.38223455  -0.736503185  0.657629044  0.0844676534
  0.172386935  1.3323573  -0.698279678  0.640700144  0.086923574
  0.183879397  1.28525955  -0.662518388  0.624464417  0.0891056256
  0.195371859  1.24073305  -0.629022645  0.608882207  0.0910374221
  0.206864322  1.19858897  -0.597614673  0.593916783  0.0927404117
  0.218356784  1.15865576  -0.568133466  0.579534078  0.0942340975
  0.229849246  1.12077727  -0.54043294  0.565702449  0.0955362333
  0.241341709  1.0848111  -0.514380317  0.552392471  0.0966629967
  0.252834171  1.05062716  -0.489854708  0.539576743  0.0976291442
  0.264326633  1.01810641  -0.466745871  0.527229723  0.098448148
  0.275819095  0.987139732  -0.444953113  0.515327566  0.0991323196
  0.287311558  0.957626968  -0.424384323  0.503847995  0.0996929195
  0.29880402  0.92947602  -0.40495512  0.492770169  0.100140255
  0.310296482  0.902602087  -0.386588095  0.482074572  0.100483769
  0.321788945  0.876926976  -0.369212134  0.47174291  0.100732118
  0.333281407  0.852378484  -0.352761827  0.461758015  0.100893244
  0.344773869  0.828889857  -0.337176927  0.452103764  0.100974441
  0.356266332  0.80639929  -0.322401879  0.442764998  0.100982406
  0.367758794  0.784849497  -0.308385389  0.433727454  0.100923299
  0.379251256  0.764187312  -0.295080049  0.424977698  0.100802783
  0.390743719  0.744363335  -0.282441986  0.416503067  0.100626072
  0.402236181  0.725331616  -0.270430561  0.408291614  0.100397966
  0.413728643  0.707049362  -0.259008085  0.40033206  0.100122889
  0.425221106  0.689476682  -0.248139574  0.392613748  0.0998049159
  0.436713568  0.672576351  -0.23779252  0.385126599  0.0994478067
  0.44820603  0.656313591  -0.227936689  0.377861075  0.0990550289
  0.459698492  0.640655889  -0.218543933  0.370808146  0.0986297829
  0.471190955  0.625572808  -0.209588022  0.36395925  0.0981750232
  0.482683417  0.611035839  -0.201044496  0.357306272  0.0976934783
  0.494175879  0.597018248  -0.192890521  0.350841508  0.0971876689
  0.505668342  0.583494946  -0.185104765  0.344557645  0.0966599239
  0.517160804  0.570442367  -0.177667285  0.338447732  0.096112396
  0.528653266  0.557838358  -0.170559417  0.332505163  0.0955470752
  0.540145729  0.545662075  -0.163763686  0.32672365  0.0949658013
  0.551638191  0.533893893  -0.157263715  0.321097212  0.0943702757
  0.563130653  0.522515321  -0.151044143  0.315620149  0.0937620721
  0.574623116  0.511508918  -0.145090555  0.31028703  0.0931426457
  0.586115578  0.500858229  -0.139389413  0.305092678  0.0925133428
  0.59760804  0.490547712  -0.133927996  0.300032153  0.0918754086
  0.609100503  0.480562679  -0.128694336  0.295100741  0.0912299946
  0.620592965  0.470889241  -0.123677176  0.290293938  0.0905781661
  0.632085427  0.461514256  -0.118865912  0.285607444  0.0899209081
  0.643577889  0.452425276  -0.114250556  0.281037147  0.0892591314
  0.655070352  0.44361051  -0.109821689  0.276579114  0.0885936782
  0.666562814  0.435058776  -0.105570428  0.272229582  0.0879253265
  0.678055276  0.426759469  -0.101488387  0.26798495  0.0872547955
  0.689547739  0.41870252  -0.0975676455  0.26384177  0.0865827494
  0.701040201  0.410878366  -0.0938007213  0.259796737  0.0859098015
  0.712532663  0.403277919  -0.0901805391  0.255846683  0.0852365177
  0.724025126  0.395892538  -0.0867004063  0.251988573  0.08456342
  0.735517588  0.388714002  -0.0833539889  0.248219494  0.0838909898
  0.74701005  0.381734487  -0.0801352891  0.244536649  0.0832196703
  0.758502513  0.374946539  -0.0770386247  0.240937357  0.0825498698
  0.769994975  0.368343057  -0.0740586102  0.237419038  0.0818819635
  0.781487437  0.361917273  -0.0711901382  0.233979218  0.0812162965
  0.792979899  0.355662728  -0.0684283635  0.230615517  0.0805531855
  0.804472362  0.349573262  -0.065768687  0.227325648  0.0798929206
  0.815964824  0.343642993  -0.0632067416  0.224107409  0.0792357679
  0.827457286  0.337866302  -0.0607383785  0.220958683  0.0785819703
  0.838949749  0.33223782  -0.0583596548  0.217877435  0.0779317497
