
%%%%%%%%%%%%%%%%%%%%%%%% G_E^p %%%%%%%%%%%%%%%%%%%
#Curve 0, 100 points
#x y type
#Q^2 [GeV^2]	G_E^p
0.0001		0.99989	
0.030402	0.911997	
0.060704	0.827461	
0.0910061	0.749391	
0.121308	0.68025	
0.15161		0.620154	
0.181912	0.567847	
0.212214	0.522056	
0.242516	0.481508	
0.272818	0.444998	
0.30312		0.411911	
0.333422	0.381937	
0.363724	0.354763	
0.394026	0.330081	
0.424328	0.307588	
0.45463		0.287035	
0.484932	0.2682	
0.515234	0.250861	
0.545536	0.234854	
0.575838	0.220068	
0.60614		0.206396	
0.636442	0.193734	
0.666744	0.181991	
0.697046	0.171073	
0.727348	0.160896	
0.757651	0.151404	
0.787953	0.142557	
0.818255	0.13431	
0.848557	0.126623	
0.878859	0.119452	
0.909161	0.112754	
0.939463	0.106488	
0.969765	0.10061	
1.00007		0.0950784	
1.03037		0.0898556	
1.06067		0.084924	
1.09097		0.0802716	
1.12127		0.0758859	
1.15158		0.0717547	
1.18188		0.0678656	
1.21218		0.0642064	
1.24248		0.0607648	
1.27278		0.0575285	
1.30309		0.0544852	
1.33339		0.0516225	
1.36369		0.0489283	
1.39399		0.0463901	
1.42429		0.0439957	
1.4546		0.0417328	
1.4849		0.039589	
1.5152		0.0375524	
1.5455		0.0356148	
1.57581		0.0337724	
1.60611		0.0320213	
1.63641		0.0303578	
1.66671		0.0287783	
1.69701		0.0272788	
1.72732		0.0258558	
1.75762		0.0245053	
1.78792		0.0232238	
1.81822		0.0220073	
1.84852		0.0208522	
1.87883		0.0197548	
1.90913		0.0187112	
1.93943		0.0177177	
1.96973		0.0167706	
2.00003		0.0158661	
2.03034		0.0150009	
2.06064		0.0141734	
2.09094		0.0133824	
2.12124		0.0126269	
2.15154		0.0119056	
2.18185		0.0112173	
2.21215		0.010561	
2.24245		0.00993546	
2.27275		0.00933952	
2.30305		0.00877203	
2.33336		0.00823183	
2.36366		0.00771778	
2.39396		0.0072287	
2.42426		0.00676344	
2.45456		0.00632085	
2.48487		0.00589977	
2.51517		0.00549904	
2.54547		0.00511748	
2.57577		0.0047539	
2.60607		0.0044071	
2.63638		0.00407588	
2.66668		0.00375903	
2.69698		0.00345537	
2.72728		0.0031637	
2.75758		0.00288281	
2.78789		0.0026115	
2.81819		0.00234859	
2.84849		0.00209286	
2.87879		0.00184313	
2.90909		0.00159819	
2.9394		0.00135684	
2.9697		0.0011179	
3		0.000880148	




