# from Janssens PRC 142, 922 (1966)
# entered by hand
# Q2 (fm^-2)   GEp   err  GMp   err
4.0	0.689	0.019	0.623	0.018
4.6	0.615	0.015	0.611	0.010
5.0	0.599	0.026	0.618	0.021
6.0	0.577	0.019	0.533	0.014
7.0	0.521	0.021	0.490	0.010
7.5	0.504	0.022	0.472	0.011
8.0	0.453	0.020	0.466	0.009
9.0	0.422	0.027	0.439	0.011
10.0	0.424	0.017	0.400	0.007
11.0	0.398	0.025	0.379	0.009
12.0	0.363	0.020	0.355	0.007
13.0	0.349	0.040	0.327	0.015
14.0	0.315	0.028	0.316	0.008
15.0	0.304	0.053	0.297	0.015
16.0	0.271	0.024	0.282	0.006
17.0	0.234	0.041	0.277	0.008
18.0	0.274	0.026	0.250	0.005
19.0	0.254	0.039	0.245	0.008
20.0	0.187	0.073	0.237	0.010
22.0	0.166	0.075	0.224	0.007
26.0	0.	-.10	0.178	0.005
28.0	0.	-.10	0.160	0.006
30.0	0.	-.10	0.145	0.006
