2.862       1.023        0.020         0.331        0.002        0.006
3.621       1.025        0.023         0.361        0.004        0.007
4.991       1.012        0.020         0.390        0.001        0.007
5.017       1.000        0.020         0.391        0.003        0.007
5.027       1.008        0.019         0.387        0.003        0.007
7.300       0.948        0.027         0.397        0.004        0.007
9.629       0.892        0.020         0.390        0.005        0.007
11.99       0.872        0.020         0.392        0.005        0.007
15.72       0.819        0.025         0.378        0.009        0.007
19.47       0.731        0.029         0.343        0.012        0.006
23.24       0.729        0.032         0.346        0.014        0.006
26.99       0.708        0.044         0.339        0.020        0.006
31.20       0.720        0.066         0.347        0.031        0.007
