0.49          0.978         0.006         0.016
0.62          0.988         0.004         0.016
0.83          0.998         0.002         0.015
1.01          1.021         0.009         0.016
1.08          1.028         0.006         0.015
1.17          1.016         0.002         0.016
1.23          1.017         0.014         0.016
1.31          1.016         0.003         0.016
1.45          1.028         0.004         0.015
1.61          1.023         0.003         0.015
1.74          1.015         0.004         0.015
