! GEP/GMp data from reanalysis
 1.499	 1.201 0.481 1	! Litt
 1.998	 1.287 0.387 1
 2.500	 1.095 0.192 1
 3.745	 1.407 0.316 1
 1.000	 0.994 0.097 2	! Walker
 2.003	 1.055 0.139 2
 2.497	 0.903 0.191 2
 3.007	 1.217 0.168 2
 1.75	 0.913 0.057 3	! Andivahis
 2.50	 0.819 0.084 3
 3.25	 0.829 0.188 3
 4.00	 0.861 0.210 3
 5.00	 0.561 0.448 3
 0.389	 0.952 0.043 4	! Berger
 0.584	 0.980 0.027 4
 0.779	 0.946 0.051 4
 0.973	 1.031 0.074 4
 1.168	 1.051 0.152 4
 1.363	 0.875 0.182 4
 1.557	 1.192 0.285 4
 1.752	 0.813 0.478 4
 0.156   1.103 0.057 5	! Janssens
 0.179	 1.003 0.039 5
 0.195	 0.974 0.067 5
 0.234	 1.087 0.061 5
 0.273	 1.070 0.059 5
 0.292	 1.074 0.068 5
 0.311	 0.974 0.057 5
 0.389	 1.061 0.058 5
 0.428	 1.051 0.086 5
 0.467	 1.020 0.073 5
 0.506	 1.073 0.113 5
 0.545	 1.000 0.087 5
 0.584	 1.036 0.133 5
 0.623	 0.964 0.103 5
 0.662	 0.846 0.169 5
 0.701	 1.096 0.121 5
 0.740	 1.036 0.186 5
 0.779	 0.778 0.169 5 
 0.857	 0.751 0.230 5 
 0.635	 1.107 0.078 6	! ResR
 0.884	 0.854 0.060 6
 2.195	 0.776 0.137 6
 2.733	 0.765 0.123 6
 3.224	 0.651 0.335 6
 3.762	 0.759 0.248 6
 4.282	 1.160 0.166 6
 5.217	 1.292 0.492 6
