Dataset:      Vertical 3He, Q2=0.1
Runs:   20487-20511
Run #	Bin3Up	Bin3Down	Tup	Tdn	BGLup	BGLdn	BGRup	BGRdn	RSup	RSdn	RBG
20487 0 0 9500 8986 68907 65784 63832 60305 47.402000000000044 47.402000000000044 699.99999999999989
20488 0 2 13290 5182 95194 37438 87960 34518 47.402000000000044 47.402000000000044 699.99999999999989
20489 42 84 12216 6532 86992 45822 80458 42876 47.402000000000044 47.402000000000044 699.99999999999989
20490 40 126 7567 11104 54167 78065 49892 72340 47.402000000000044 47.402000000000044 699.99999999999989
20491 0 0 7197 10836 52824 79027 48507 73896 47.402000000000044 47.402000000000044 699.99999999999989
20492 51 19 8870 9594 63272 68639 58522 63668 47.402000000000044 47.402000000000044 699.99999999999989
20493 0 77 13219 5014 96221 35181 88990 32136 47.402000000000044 47.402000000000044 699.99999999999989
20494 28 87 5938 12537 42420 89603 39059 82270 47.402000000000044 47.402000000000044 699.99999999999989
20498 0 0 9198 9036 66406 65748 61003 60819 47.402000000000044 47.402000000000044 699.99999999999989
20499 0 13 4872 13642 34729 96671 32176 89465 47.402000000000044 47.402000000000044 699.99999999999989
20500 19 0 7519 10912 53463 78459 49534 72587 47.402000000000044 47.402000000000044 699.99999999999989
20501 86 53 13335 4715 93443 33951 86601 31293 47.402000000000044 47.402000000000044 699.99999999999989
20502 13 15 10508 8105 73827 57693 68220 53490 47.402000000000044 47.402000000000044 699.99999999999989
20503 33 0 8101 10476 58499 74215 53794 69020 47.402000000000044 47.402000000000044 699.99999999999989
20504 0 0 9537 8874 68034 63955 63119 59258 47.402000000000044 47.402000000000044 699.99999999999989
20505 1 0 7716 9660 56711 69748 52178 63918 47.402000000000044 47.402000000000044 699.99999999999989
20506 82 0 12396 6175 86744 43664 80295 40827 47.402000000000044 47.402000000000044 699.99999999999989
20507 25 25 12607 5907 89952 41090 83103 37703 47.402000000000044 47.402000000000044 699.99999999999989
20508 25 0 2115 11673 15432 84634 14344 78060 47.402000000000044 47.402000000000044 699.99999999999989
20509 0 0 0 0 0 0 0 0 47.402000000000044 47.402000000000044 699.99999999999989
20510 0 0 0 0 0 0 0 0 47.402000000000044 47.402000000000044 699.99999999999989
20511 0 0 0 0 0 0 0 0 47.402000000000044 47.402000000000044 699.99999999999989
