Dataset:	Longitudinal 3He, Q2=1.0
Runs:	22393-22438
xBj	Asymmetry	Stat. Error	# BeamPos Events	BeamPos Charge	PosBeam LT	# Neg Events	BeamNeg Charge	NegBeam LT
0.335	-0.333428	0.75866	1	0.32294	0.9387	2	0.32294	0.9385
0.365	-0.0443772	0.050968	367	0.32294	0.9387	401	0.32294	0.9385
0.395	-0.00876512	0.0163215	3721	0.32294	0.9387	3786	0.32294	0.9385
0.425	-0.00050577	0.00815708	15023	0.32294	0.9387	15035	0.32294	0.9385
0.455	0.00333467	0.00522598	36741	0.32294	0.9387	36489	0.32294	0.9385
0.485	0.00581855	0.00381541	69098	0.32294	0.9387	68284	0.32294	0.9385
0.515	0.00528909	0.00327189	93913	0.32294	0.9387	92905	0.32294	0.9385
0.545	0.00217993	0.00308979	104986	0.32294	0.9387	104507	0.32294	0.9385
0.575	-0.00537068	0.00317101	98923	0.32294	0.9387	99970	0.32294	0.9385
0.605	-0.00345513	0.00345203	83635	0.32294	0.9387	84197	0.32294	0.9385
