Runs:	22380-22461
xBj	Asymmetry	Stat. Error	# BeamPos Events	BeamPos Charge	PosBeam LT	# Neg Events	BeamNeg Charge	NegBeam LT
0.335	0	1	0	0.00487	0.9254	0	0.00487	0.9252
0.365	-0.296395	0.128497	38	0.00487	0.9254	70	0.00487	0.9252
0.395	0.00604199	0.0495975	409	0.00487	0.9254	404	0.00487	0.9252
0.425	-0.0167893	0.0296252	1120	0.00487	0.9254	1158	0.00487	0.9252
0.455	0.0122648	0.0234478	1841	0.00487	0.9254	1796	0.00487	0.9252
0.485	0.00169373	0.02001	2502	0.00487	0.9254	2493	0.00487	0.9252
0.515	0.00234491	0.0180849	3065	0.00487	0.9254	3050	0.00487	0.9252
0.545	0.0195943	0.0168331	3597	0.00487	0.9254	3458	0.00487	0.9252
0.575	0.000291874	0.0163288	3752	0.00487	0.9254	3749	0.00487	0.9252
0.605	0.013893	0.0164069	3766	0.00487	0.9254	3662	0.00487	0.9252
