Runs:	22441-22441
xBj	Asymmetry	Stat. Error	# BeamPos Events	BeamPos Charge	PosBeam LT	# Neg Events	BeamNeg Charge	NegBeam LT
0.335	0	1	0	0.0095	0.9295	0	0.00951	0.9305
0.365	0	1	0	0.0095	0.9295	2	0.00951	0.9305
0.395	0	1	0	0.0095	0.9295	1	0.00951	0.9305
0.425	-0.332388	0.438354	3	0.0095	0.9295	6	0.00951	0.9305
0.455	0.046787	0.031484	1052	0.0095	0.9295	960	0.00951	0.9305
0.485	0.00644062	0.0154584	4207	0.0095	0.9295	4162	0.00951	0.9305
0.515	0.0158926	0.0146575	4722	0.0095	0.9295	4584	0.00951	0.9305
0.545	-0.00805624	0.0145628	4672	0.0095	0.9295	4758	0.00951	0.9305
0.575	-0.0182366	0.0163127	3684	0.0095	0.9295	3829	0.00951	0.9305
0.605	0.0198729	0.022695	1977	0.0095	0.9295	1904	0.00951	0.9305
