Dataset:	Transverse 3He, Q2=1.0
Runs:	22447-22489
xBj	Asymmetry	Stat. Error	# BeamPos Events	BeamPos Charge	PosBeam LT	# Neg Events	BeamNeg Charge	NegBeam LT
0.335	0	1	0	0.39457	0.94	0	0.39459	0.9397
0.365	0.0132245	0.0436805	531	0.39457	0.94	517	0.39459	0.9397
0.395	-0.00113928	0.0149445	4473	0.39457	0.94	4482	0.39459	0.9397
0.425	-0.00643454	0.00738546	18217	0.39457	0.94	18448	0.39459	0.9397
0.455	-0.0163234	0.00472466	44058	0.39457	0.94	45508	0.39459	0.9397
0.485	-0.0120998	0.00345707	82656	0.39457	0.94	84658	0.39459	0.9397
0.515	-0.0182457	0.00296486	111653	0.39457	0.94	115772	0.39459	0.9397
0.545	-0.0126133	0.00279727	126180	0.39457	0.94	129369	0.39459	0.9397
0.575	-0.0159826	0.00287295	119197	0.39457	0.94	123036	0.39459	0.9397
0.605	-0.0146707	0.00312356	100977	0.39457	0.94	103956	0.39459	0.9397
