Runs:	20591-20734
xBj	Asymmetry	Stat. Error	# BeamPos Events	BeamPos Charge	PosBeam LT	# Neg Events	BeamNeg Charge	NegBeam LT
0.335	0	1	0	0.00314	0.9423	0	0.00314	0.943
0.365	0.190834	0.21321	25	0.00314	0.9423	17	0.00314	0.943
0.395	0.00342939	0.0782055	164	0.00314	0.9423	163	0.00314	0.943
0.425	-0.0505923	0.0475166	419	0.00314	0.9423	464	0.00314	0.943
0.455	-0.0320265	0.0379218	672	0.00314	0.9423	717	0.00314	0.943
0.485	-0.00207849	0.0313035	1018	0.00314	0.9423	1023	0.00314	0.943
0.515	-0.0127407	0.0295627	1129	0.00314	0.9423	1159	0.00314	0.943
0.545	-0.0206373	0.0264559	1398	0.00314	0.9423	1458	0.00314	0.943
0.575	-0.0136034	0.0254919	1517	0.00314	0.9423	1560	0.00314	0.943
0.605	-0.00138989	0.0265419	1417	0.00314	0.9423	1422	0.00314	0.943
