Runs:	20791-20792
xBj	Asymmetry	Stat. Error	# BeamPos Events	BeamPos Charge	PosBeam LT	# Neg Events	BeamNeg Charge	NegBeam LT
0.335	0	1	0	0.01661	0.8851	0	0.01661	0.8851
0.365	-0.2	0.616539	2	0.01661	0.8851	3	0.01661	0.8851
0.395	0	1	6	0.01661	0.8851	0	0.01661	0.8851
0.425	0.0731707	0.220123	22	0.01661	0.8851	19	0.01661	0.8851
0.455	-0.00224719	0.0104699	9102	0.01661	0.8851	9143	0.01661	0.8851
0.485	-0.00588818	0.00548092	33091	0.01661	0.8851	33483	0.01661	0.8851
0.515	-0.00156812	0.0051337	37884	0.01661	0.8851	38003	0.01661	0.8851
0.545	-0.00552748	0.00513033	37782	0.01661	0.8851	38202	0.01661	0.8851
0.575	-0.00239261	0.00562938	31480	0.01661	0.8851	31631	0.01661	0.8851
0.605	-0.004088	0.00790006	15957	0.01661	0.8851	16088	0.01661	0.8851
