Dataset:	Vertical 3He, Q2=0.5
Runs:	20890-21005
xBj	Asymmetry	Stat. Error	# BeamPos Events	BeamPos Charge	PosBeam LT	# Neg Events	BeamNeg Charge	NegBeam LT
0.11	0	1	0	0.30231	0.9897	0	0.3023	0.9897
0.14	-0.00148497	0.0270964	1360	0.30231	0.9897	1364	0.3023	0.9897
0.17	-0.00908078	0.0081188	15032	0.30231	0.9897	15307	0.3023	0.9897
0.2	-0.000884851	0.00416728	57533	0.30231	0.9897	57633	0.3023	0.9897
0.23	0.000950796	0.00273838	133485	0.30231	0.9897	133227	0.3023	0.9897
0.26	-0.0031891	0.00226116	194963	0.30231	0.9897	196204	0.3023	0.9897
0.29	0.000188241	0.00227691	192929	0.30231	0.9897	192850	0.3023	0.9897
0.32	0.00107765	0.00277101	130376	0.30231	0.9897	130091	0.3023	0.9897
0.35	0	1	0	0.30231	0.9897	0	0.3023	0.9897
0.38	0	1	0	0.30231	0.9897	0	0.3023	0.9897
