Dataset:	Longitudinal 3He, Q2=1.0
Runs:	22393-22438
xBj	Asymmetry	Stat. Error	# BeamPos Events	BeamPos Charge	PosBeam LT	# Neg Events	BeamNeg Charge	NegBeam LT
0.335	0.333239	0.53653	4	0.32294	0.9387	2	0.32294	0.9385
0.365	-0.0523711	0.0416674	544	0.32294	0.9387	604	0.32294	0.9385
0.395	-0.00523879	0.0114713	7560	0.32294	0.9387	7638	0.32294	0.9385
0.425	-0.00361539	0.00466837	45723	0.32294	0.9387	46045	0.32294	0.9385
0.455	0.00212895	0.00254737	154449	0.32294	0.9387	153760	0.32294	0.9385
0.485	0.00158322	0.0016733	357754	0.32294	0.9387	356547	0.32294	0.9385
0.515	0.00015471	0.00136361	537936	0.32294	0.9387	537655	0.32294	0.9385
0.545	-0.000440284	0.00127749	612543	0.32294	0.9387	612952	0.32294	0.9385
0.575	-0.00191426	0.00133323	561570	0.32294	0.9387	563604	0.32294	0.9385
0.605	0.000344993	0.0014951	447565	0.32294	0.9387	447161	0.32294	0.9385
