Runs:	22380-22461
xBj	Asymmetry	Stat. Error	# BeamPos Events	BeamPos Charge	PosBeam LT	# Neg Events	BeamNeg Charge	NegBeam LT
0.335	0	1	0	0.00487	0.9254	0	0.00487	0.9252
0.365	-0.277878	0.112087	52	0.00487	0.9254	92	0.00487	0.9252
0.395	-0.0184509	0.0355595	776	0.00487	0.9254	805	0.00487	0.9252
0.425	0.00867404	0.0182036	3044	0.00487	0.9254	2991	0.00487	0.9252
0.455	0.00230697	0.013134	5811	0.00487	0.9254	5783	0.00487	0.9252
0.485	-0.00170484	0.0103175	9379	0.00487	0.9254	9409	0.00487	0.9252
0.515	-0.00292118	0.00890177	12584	0.00487	0.9254	12655	0.00487	0.9252
0.545	0.000859142	0.00816728	15006	0.00487	0.9254	14977	0.00487	0.9252
0.575	0.00852623	0.00786696	16296	0.00487	0.9254	16017	0.00487	0.9252
0.605	-0.00525154	0.00804335	15377	0.00487	0.9254	15536	0.00487	0.9252
