Runs:	22441-22441
xBj	Asymmetry	Stat. Error	# BeamPos Events	BeamPos Charge	PosBeam LT	# Neg Events	BeamNeg Charge	NegBeam LT
0.335	0	1	0	0.0095	0.9295	0	0.00951	0.9305
0.365	0	1	0	0.0095	0.9295	2	0.00951	0.9305
0.395	0	1	0	0.0095	0.9295	4	0.00951	0.9305
0.425	0.250997	0.339417	10	0.0095	0.9295	6	0.00951	0.9305
0.455	0.0168686	0.0110454	8323	0.0095	0.9295	8064	0.00951	0.9305
0.485	0.00010642	0.00546938	33397	0.0095	0.9295	33461	0.00951	0.9305
0.515	0.00754132	0.00515755	37834	0.0095	0.9295	37347	0.00951	0.9305
0.545	0.00804005	0.00513067	38250	0.0095	0.9295	37720	0.00951	0.9305
0.575	-0.0168118	0.00556742	31675	0.0095	0.9295	32828	0.00951	0.9305
0.605	0.0091296	0.00784636	16372	0.0095	0.9295	16110	0.00951	0.9305
