Dataset:	Transverse 3He, Q2=1.0
Runs:	22447-22489
xBj	Asymmetry	Stat. Error	# BeamPos Events	BeamPos Charge	PosBeam LT	# Neg Events	BeamNeg Charge	NegBeam LT
0.335	-0.750059	0.301369	1	0.39457	0.94	7	0.39459	0.9397
0.365	-0.000134257	0.0357371	783	0.39457	0.94	783	0.39459	0.9397
0.395	-0.00455644	0.0103226	9343	0.39457	0.94	9426	0.39459	0.9397
0.425	-0.00381207	0.00417493	57160	0.39457	0.94	57582	0.39459	0.9397
0.455	-0.00352036	0.00227627	192341	0.39457	0.94	193648	0.39459	0.9397
0.485	-0.00311009	0.00150061	442756	0.39457	0.94	445399	0.39459	0.9397
0.515	-0.00369455	0.00121987	669602	0.39457	0.94	674387	0.39459	0.9397
0.545	-0.00409115	0.00114502	759702	0.39457	0.94	765738	0.39459	0.9397
0.575	-0.00458517	0.00119419	698083	0.39457	0.94	704325	0.39459	0.9397
0.605	-0.00630066	0.00134059	552971	0.39457	0.94	559833	0.39459	0.9397
