Runs:	20591-20734
xBj	Asymmetry	Stat. Error	# BeamPos Events	BeamPos Charge	PosBeam LT	# Neg Events	BeamNeg Charge	NegBeam LT
0.335	0	1	0	0.00314	0.9423	0	0.00314	0.943
0.365	-0.017486	0.133606	55	0.00314	0.9423	57	0.00314	0.943
0.395	0.0335367	0.0448016	514	0.00314	0.9423	481	0.00314	0.943
0.425	0.0159009	0.0235468	1831	0.00314	0.9423	1775	0.00314	0.943
0.455	-0.0317169	0.0166575	3484	0.00314	0.9423	3715	0.00314	0.943
0.485	-0.0173234	0.0131045	5718	0.00314	0.9423	5924	0.00314	0.943
0.515	-0.0297096	0.0114424	7400	0.00314	0.9423	7859	0.00314	0.943
0.545	-0.00266295	0.0104099	9200	0.00314	0.9423	9256	0.00314	0.943
0.575	0.0151684	0.0100486	10047	0.00314	0.9423	9754	0.00314	0.943
0.605	0.00767361	0.0102499	9587	0.00314	0.9423	9448	0.00314	0.943
