Runs:	20791-20792
xBj	Asymmetry	Stat. Error	# BeamPos Events	BeamPos Charge	PosBeam LT	# Neg Events	BeamNeg Charge	NegBeam LT
0.335	0	1	0	0.01661	0.8851	0	0.01661	0.8851
0.365	-0.2	0.616539	2	0.01661	0.8851	3	0.01661	0.8851
0.395	0.454545	0.369284	8	0.01661	0.8851	3	0.01661	0.8851
0.425	0.189655	0.128337	69	0.01661	0.8851	47	0.01661	0.8851
0.455	-0.00131435	0.0055941	31913	0.01661	0.8851	31997	0.01661	0.8851
0.485	-0.00143502	0.00296258	113772	0.01661	0.8851	114099	0.01661	0.8851
0.515	0.00250913	0.00279581	128254	0.01661	0.8851	127612	0.01661	0.8851
0.545	-0.00538784	0.00280859	126084	0.01661	0.8851	127450	0.01661	0.8851
0.575	-0.00028676	0.00309171	104587	0.01661	0.8851	104647	0.01661	0.8851
0.605	-0.00279666	0.00435433	52594	0.01661	0.8851	52889	0.01661	0.8851
