Dataset:	Vertical 3He, Q2=1.0
Runs:	20596-20789
xBj	Asymmetry	Stat. Error	# BeamPos Events	BeamPos Charge	PosBeam LT	# Neg Events	BeamNeg Charge	NegBeam LT
0.335	-0.3077	0.260673	9	1.15329	0.9274	17	1.15327	0.9274
0.365	0.0101954	0.0220419	2079	1.15329	0.9274	2037	1.15327	0.9274
0.395	0.00322868	0.00534065	35173	1.15329	0.9274	34946	1.15327	0.9274
0.425	0.000228108	0.00202926	242900	1.15329	0.9274	242785	1.15327	0.9274
0.455	0.000894486	0.00108584	848902	1.15329	0.9274	847370	1.15327	0.9274
0.485	-0.000956711	0.000709935	1.98221e+06	1.15329	0.9274	1.98598e+06	1.15327	0.9274
0.515	0.000229745	0.000574049	3.03533e+06	1.15329	0.9274	3.03388e+06	1.15327	0.9274
0.545	0.00123093	0.000536635	3.47679e+06	1.15329	0.9274	3.46818e+06	1.15327	0.9274
0.575	-0.000313357	0.000562926	3.15475e+06	1.15329	0.9274	3.15667e+06	1.15327	0.9274
0.605	0.000270922	0.000636559	2.46856e+06	1.15329	0.9274	2.46718e+06	1.15327	0.9274
