Dataset:	Hydrogen, Q2=0.1
Runs:	20404-20407
Omega	Raw Asym	Stat. Error	# HePos Events	HePos Charge	PosHe LT	 # Neg Events	HeNeg Charge	NegHe LT
0.0065	 0	0	0	0.00536	0.9833	0	0.00535	0.9834
0.0195	 0	0	0	0.00536	0.9833	0	0.00535	0.9834
0.0325	 0	0	0	0.00536	0.9833	0	0.00535	0.9834
0.0455	 0	0	0	0.00536	0.9833	0	0.00535	0.9834
0.0585	 -0.0355138	0.0657418	223	0.00536	0.9833	239	0.00535	0.9834
0.0715	 0.0599312	0.0410091	628	0.00536	0.9833	556	0.00535	0.9834
0.0845	 -0.312272	0.169817	21	0.00536	0.9833	40	0.00535	0.9834
0.0975	 0	0	0	0.00536	0.9833	0	0.00535	0.9834
0.1105	 0	0	0	0.00536	0.9833	0	0.00535	0.9834
0.1235	 0	0	0	0.00536	0.9833	0	0.00535	0.9834
