Dataset:	Longitudinal 3He, Q2=1.0
Runs:	22393-22438
Omega	Asymmetry	Stat. Error	# HePos Events	HePos Charge	PosHe LT	# Neg Events	HeNeg Charge	NegHe LT
0.335	0	1	3	0.64588	0.9386	0	0	0
0.365	0	1	774	0.64588	0.9386	0	0	0
0.395	0	1	7580	0.64588	0.9386	0	0	0
0.425	0	1	30394	0.64588	0.9386	0	0	0
0.455	0	1	74067	0.64588	0.9386	0	0	0
0.485	0	1	138913	0.64588	0.9386	0	0	0
0.515	0	1	188838	0.64588	0.9386	0	0	0
0.545	0	1	211706	0.64588	0.9386	0	0	0
0.575	0	1	201150	0.64588	0.9386	0	0	0
0.605	0	1	169784	0.64588	0.9386	0	0	0
