Dataset:	Longitudinal 3He, Q2=1.0
Runs:	22393-22437
Omega	Raw Asym	Stat. Error	# HePos Events	HePos Charge	PosHe LT	 # Neg Events	HeNeg Charge	NegHe LT
0.32	 0	0	0	0.63419	0.9388	0	0	0
0.36	 -1	5.27698e+19	543	0.63419	0.9388	574	0	0
0.4	 -1	2.66223e+21	7595	0.63419	0.9388	7651	0	0
0.44	 -1	1.69702e+22	26193	0.63419	0.9388	26221	0	0
0.48	 -1	4.92761e+22	53155	0.63419	0.9388	53525	0	0
0.52	 -1	7.97042e+22	73638	0.63419	0.9388	73360	0	0
0.56	 -1	8.788e+22	78623	0.63419	0.9388	78263	0	0
0.6	 -1	7.66645e+22	70861	0.63419	0.9388	72382	0	0
0.64	 -1	2.93174e+22	37441	0.63419	0.9388	38025	0	0
0.68	 0	0	0	0.63419	0.9388	0	0	0
