Runs:	22380-22461
Omega	Asymmetry	Stat. Error	# HePos Events	HePos Charge	PosHe LT	# Neg Events	HeNeg Charge	NegHe LT
0.335	0	1	0	0.00916	0.9198	0	0.00058	0.9388
0.365	0.747317	0.2421	107	0.00916	0.9198	1	0.00058	0.9388
0.395	0.227022	0.100748	786	0.00916	0.9198	32	0.00058	0.9388
0.425	0.167122	0.0587482	2190	0.00916	0.9198	101	0.00058	0.9388
0.455	0.0941468	0.0446222	3495	0.00916	0.9198	187	0.00058	0.9388
0.485	0.0972847	0.0380917	4815	0.00916	0.9198	256	0.00058	0.9388
0.515	0.0948308	0.0344815	5858	0.00916	0.9198	313	0.00058	0.9388
0.545	0.139837	0.0328956	6787	0.00916	0.9198	331	0.00058	0.9388
0.575	0.115919	0.0314898	7207	0.00916	0.9198	369	0.00058	0.9388
0.605	0.105419	0.0314141	7151	0.00916	0.9198	374	0.00058	0.9388
