Runs:	22441-22441
Omega	Asymmetry	Stat. Error	# HePos Events	HePos Charge	PosHe LT	# Neg Events	HeNeg Charge	NegHe LT
0.335	0	1	0	0.00719	0.9261	0	0.01182	0.9324
0.365	0	1	0	0.00719	0.9261	2	0.01182	0.9324
0.395	0	1	0	0.00719	0.9261	1	0.01182	0.9324
0.425	0.535992	0.351224	6	0.00719	0.9261	3	0.01182	0.9324
0.455	-0.0272793	0.0323023	738	0.00719	0.9261	1290	0.01182	0.9324
0.485	0.00435311	0.0157217	3207	0.00719	0.9261	5262	0.01182	0.9324
0.515	0.00143343	0.0149366	3544	0.00719	0.9261	5849	0.01182	0.9324
0.545	-0.0121503	0.0148526	3541	0.00719	0.9261	6005	0.01182	0.9324
0.575	-0.0113147	0.0166467	2821	0.00719	0.9261	4776	0.01182	0.9324
0.605	-0.0161451	0.0231755	1449	0.00719	0.9261	2477	0.01182	0.9324
