Dataset:	Transverse 3He, Q2=1.0
Runs:	22447-22489
Omega	Asymmetry	Stat. Error	# HePos Events	HePos Charge	PosHe LT	# Neg Events	HeNeg Charge	NegHe LT
0.335	0	1	0	0	0	0	0.78916	0.9398
0.365	0	1	0	0	0	1095	0.78916	0.9398
0.395	0	1	0	0	0	9347	0.78916	0.9398
0.425	0	1	0	0	0	38211	0.78916	0.9398
0.455	0	1	0	0	0	93304	0.78916	0.9398
0.485	0	1	0	0	0	174361	0.78916	0.9398
0.515	0	1	0	0	0	236767	0.78916	0.9398
0.545	0	1	0	0	0	266189	0.78916	0.9398
0.575	0	1	0	0	0	252425	0.78916	0.9398
0.605	0	1	0	0	0	213636	0.78916	0.9398
