Dataset:	Transverse 3He, Q2=1.0
Runs:	22447-22489
Omega	Raw Asym	Stat. Error	# HePos Events	HePos Charge	PosHe LT	 # Neg Events	HeNeg Charge	NegHe LT
0.32	 0	0	0	0	0	0	0.76615	0.9399
0.36	 1	6.52193e+19	643	0	0	643	0.76615	0.9399
0.4	 1	3.35838e+21	9024	0	0	8777	0.76615	0.9399
0.44	 1	2.16005e+22	30967	0	0	30594	0.76615	0.9399
0.48	 1	6.31878e+22	63939	0	0	61989	0.76615	0.9399
0.52	 1	1.03228e+23	88386	0	0	86283	0.76615	0.9399
0.56	 1	1.13961e+23	94284	0	0	92289	0.76615	0.9399
0.6	 1	9.9012e+22	85814	0	0	84063	0.76615	0.9399
0.64	 1	3.75677e+22	45017	0	0	44017	0.76615	0.9399
0.68	 0	0	0	0	0	0	0.76615	0.9399
