Dataset:	Vertical 3He, Q2=0.1
Runs:	20487-20532
Omega	Asymmetry	Stat. Error	# HePos Events	HePos Charge	PosHe LT	# Neg Events	HeNeg Charge	NegHe LT
-0.0065	0	1	2	0.11155	0	0	0.1063	0
0.0065	0	1	0	0.11155	0	0	0.1063	0
0.0195	-0.2	1.54135e+16	2	0.11155	0	3	0.1063	0
0.0325	-0.00557791	2.75393e+23	167047	0.11155	0	168921	0.1063	0
0.0455	-0.00208304	1.24365e+24	457988	0.11155	0	459900	0.1063	0
0.0585	-0.00261196	2.74368e+24	775737	0.11155	0	779800	0.1063	0
0.0715	-0.0029026	3.54977e+24	920802	0.11155	0	926163	0.1063	0
0.0845	-0.00310059	2.91167e+24	806692	0.11155	0	811710	0.1063	0
0.0975	-0.00257972	1.30089e+24	471700	0.11155	0	474140	0.1063	0
0.1105	0	1	0	0.11155	0	0	0.1063	0
