Dataset:	Vertical 3He, Q2=0.1
Runs:	20487-20538
Run #	Asymmetry	Stat. Error	# HePos Events	HePos Charge	PosHe LT	# Neg Events	HeNeg Charge	NegHe LT
20488	0.195956	0.158674	80	0.00712	0.9999	21	0.00278	0.9999
20489	0.141631	0.133025	91	0.0065	0.9999	36	0.00342	0.9999
20490	0.16876	0.140969	47	0.00406	0.9935	48	0.00583	0.9935
20491	-0.0422077	0.135768	43	0.00395	0.9936	70	0.00591	0.9935
20492	0.0510949	0.123241	66	0.00473	0.9935	65	0.00516	0.9935
20493	-0.138035	0.145301	67	0.00721	0.9935	33	0.00269	0.9934
20494	0.230985	0.126326	49	0.00316	0.9935	65	0.00671	0.9935
20498	-0.285187	0.124273	42	0.00499	0.9935	74	0.00489	0.9935
20499	0.0496417	0.141244	33	0.00259	0.9934	84	0.00728	0.9936
20501	0.273103	0.163635	81	0.00721	0.9935	17	0.00265	0.9936
20502	0.0731863	0.128539	73	0.00551	0.9935	50	0.00437	0.9935
20503	-0.0597283	0.128076	51	0.00437	0.9935	73	0.00555	0.9935
20504	0.021322	0.114775	80	0.0051	0.9935	72	0.00479	0.9935
20505	-0.173093	0.127346	44	0.00433	0.9936	80	0.00555	0.9935
20506	0.0144829	0.129522	88	0.00656	0.9936	43	0.0033	0.9935
20507	-0.0284075	0.126005	94	0.00681	0.9935	45	0.00308	0.9935
20508	-0.406895	0.129578	23	0.00358	0.9936	96	0.0063	0.9935
20509	0	0	0	0.00866	0.9936	0	0.00747	0.9936
20510	0	0	0	0.00409	0.9935	0	0.00581	0.9936
20511	0	0	0	0.00194	0.9935	0	0.00437	0.9936
20534	-0.01604	0.070352	206	0.00159	0.9905	198	0.00148	0.9905
20535	0.0162789	0.0420801	771	0.0061	0.9896	431	0.00352	0.9904
20536	-0.104651	0.0395387	453	0.00364	0.99	920	0.00599	0.9903
