Dataset:      Vertical 3He, Q2=0.5
Runs:   20890-21006
Run #	Bin3Up	Bin3Down	Tup	Tdn	BGLup	BGLdn	BGRup	BGRdn	RSup	RSdn	RBG
20890 158 883 533 4132 4322 37222 3981 33684 27.355999999999995 27.355999999999995 699.99999999999989
20891 0 168 0 660 0 5556 0 5158 27.355999999999995 27.355999999999995 699.99999999999989
20893 1228 0 4888 0 41894 0 38200 0 27.355999999999995 27.355999999999995 699.99999999999989
20894 228 747 918 3138 7963 27275 7165 24865 27.355999999999995 27.355999999999995 699.99999999999989
20895 2811 3563 8742 12575 67809 102635 61600 93888 27.355999999999995 27.355999999999995 699.99999999999989
20896 928 0 2941 0 22851 0 20943 0 27.355999999999995 27.355999999999995 699.99999999999989
20899 0 317 0 938 0 6970 0 6572 27.355999999999995 27.355999999999995 699.99999999999989
20900 0 6 0 17 0 178 0 172 27.355999999999995 27.355999999999995 699.99999999999989
20901 2294 3202 7043 10462 53975 82211 49515 76251 27.355999999999995 27.355999999999995 699.99999999999989
20916 0 2706 0 8787 0 68932 0 63920 27.355999999999995 27.355999999999995 699.99999999999989
20917 0 2221 0 8347 0 69497 0 63749 27.355999999999995 27.355999999999995 699.99999999999989
20918 0 2239 0 7216 0 56440 0 51895 27.355999999999995 27.355999999999995 699.99999999999989
20919 0 605 0 2153 0 17805 0 16006 27.355999999999995 27.355999999999995 699.99999999999989
20921 0 2845 0 9742 0 77958 0 72488 27.355999999999995 27.355999999999995 699.99999999999989
20923 367 0 1078 0 8052 0 7490 0 27.355999999999995 27.355999999999995 699.99999999999989
20926 3996 3310 11664 10750 87299 85135 80246 77690 27.355999999999995 27.355999999999995 699.99999999999989
20927 2929 2609 9106 8654 70633 68456 64446 63560 27.355999999999995 27.355999999999995 699.99999999999989
20928 3510 3529 10566 11713 80053 93375 73735 85496 27.355999999999995 27.355999999999995 699.99999999999989
20931 4991 1941 15383 6528 118389 52117 107856 47985 27.355999999999995 27.355999999999995 699.99999999999989
20938 3979 1027 11923 3553 89997 28434 83648 26549 27.355999999999995 27.355999999999995 699.99999999999989
20949 0 0 0 0 0 0 0 0 27.355999999999995 27.355999999999995 699.99999999999989
20961 5380 3529 14590 11449 104972 90079 95882 82884 27.355999999999995 27.355999999999995 699.99999999999989
20962 5537 3248 15149 10709 109342 84472 99990 77860 27.355999999999995 27.355999999999995 699.99999999999989
20963 3213 5706 9261 16665 68881 124527 63528 114406 27.355999999999995 27.355999999999995 699.99999999999989
20964 4554 3369 13581 11445 102810 92015 94261 84511 27.355999999999995 27.355999999999995 699.99999999999989
20971 4563 3257 13689 11204 103715 90610 95433 82805 27.355999999999995 27.355999999999995 699.99999999999989
20978 1204 1020 3823 3387 30135 27125 27070 24358 27.355999999999995 27.355999999999995 699.99999999999989
20979 4545 3005 13941 10547 106860 86113 97939 78149 27.355999999999995 27.355999999999995 699.99999999999989
20980 196 3106 688 10252 5689 81271 5193 74809 27.355999999999995 27.355999999999995 699.99999999999989
20982 4332 3415 13140 11581 100540 92789 91391 85416 27.355999999999995 27.355999999999995 699.99999999999989
20983 746 258 3104 1239 26963 11096 24734 10220 27.355999999999995 27.355999999999995 699.99999999999989
20984 666 0 3198 0 29121 0 26092 0 27.355999999999995 27.355999999999995 699.99999999999989
20985 0 582 0 3123 0 29245 0 26230 27.355999999999995 27.355999999999995 699.99999999999989
20986 343 347 1579 1685 14249 15373 12814 14016 27.355999999999995 27.355999999999995 699.99999999999989
20988 751 0 3274 0 29153 0 26154 0 27.355999999999995 27.355999999999995 699.99999999999989
20989 65 452 221 2801 1827 27150 1644 24244 27.355999999999995 27.355999999999995 699.99999999999989
20990 0 652 0 3508 0 32671 0 29749 27.355999999999995 27.355999999999995 699.99999999999989
20991 492 225 2250 1308 20189 12505 18252 11305 27.355999999999995 27.355999999999995 699.99999999999989
20992 595 0 3439 0 32903 0 29351 0 27.355999999999995 27.355999999999995 699.99999999999989
20993 0 696 0 3708 0 34578 0 31244 27.355999999999995 27.355999999999995 699.99999999999989
20994 755 9 3722 21 34241 151 30991 128 27.355999999999995 27.355999999999995 699.99999999999989
20995 4041 3531 12372 12261 94330 99360 87568 90879 27.355999999999995 27.355999999999995 699.99999999999989
21001 1743 1763 4974 6194 36764 50509 33504 46123 27.355999999999995 27.355999999999995 699.99999999999989
21002 4311 3433 13368 11359 103246 90623 94350 82489 27.355999999999995 27.355999999999995 699.99999999999989
21003 1628 2066 4667 7304 34511 59763 31909 54665 27.355999999999995 27.355999999999995 699.99999999999989
21004 4271 3478 12905 11821 98459 94902 90228 87051 27.355999999999995 27.355999999999995 699.99999999999989
21005 4713 3058 13932 10858 105061 88656 96080 81331 27.355999999999995 27.355999999999995 699.99999999999989
21006 4169 3447 12176 12108 90842 98329 83358 90716 27.355999999999995 27.355999999999995 699.99999999999989
