Dataset:	Vertical 3He, Q2=1.0
Runs:	20751-20760
Omega	Asymmetry	Stat. Error	# HePos Events	HePos Charge	PosHe LT	# Neg Events	HeNeg Charge	NegHe LT
0.335	0	1	0	0.07661	0.9248	3	0.07969	0.93
0.365	-0.0666307	0.102179	87	0.07661	0.9248	104	0.07969	0.93
0.395	0.0103369	0.0340485	852	0.07661	0.9248	873	0.07969	0.93
0.425	-0.014909	0.0163797	3590	0.07661	0.9248	3869	0.07969	0.93
0.455	-0.00526165	0.0101436	9454	0.07661	0.9248	9994	0.07969	0.93
0.485	0.00517233	0.00727658	18562	0.07661	0.9248	19217	0.07969	0.93
0.515	-0.000733485	0.00610413	26225	0.07661	0.9248	27473	0.07969	0.93
0.545	0.00936676	0.00570026	30370	0.07661	0.9248	31179	0.07969	0.93
0.575	0.0115644	0.00585736	28823	0.07661	0.9248	29461	0.07969	0.93
0.605	0.0113961	0.00640367	24111	0.07661	0.9248	24653	0.07969	0.93
