Dataset:	Vertical 3He, Q2=1.0
Runs:	20596-20789
Omega	Raw Asym	Stat. Error	# HePos Events	HePos Charge	PosHe LT	 # Neg Events	HeNeg Charge	NegHe LT
0.32	 0.00292899	0.00367984	75410	1.07756	0.9272	72333	1.03944	0.9274
0.36	 0.00275584	0.00155044	424720	1.07756	0.9272	407531	1.03944	0.9274
0.4	 0.00269808	0.0012637	639288	1.07756	0.9272	613486	1.03944	0.9274
0.44	 0.0033117	0.00185516	296816	1.07756	0.9272	284487	1.03944	0.9274
0.48	 0.00202387	0.00217577	215509	1.07756	0.9272	207090	1.03944	0.9274
0.52	 0.00369348	0.00183145	304667	1.07756	0.9272	291789	1.03944	0.9274
0.56	 0.00030826	0.00176924	325366	1.07756	0.9272	313730	1.03944	0.9274
0.6	 0.00446644	0.00185035	298707	1.07756	0.9272	285639	1.03944	0.9274
0.64	 0.00448777	0.00258984	152480	1.07756	0.9272	145803	1.03944	0.9274
0.68	 0	0	0	1.07756	0.9272	0	1.03944	0.9274
