Dataset:	Longitudinal 3He, Q2=0.4
Runs:	21813-22138
Omega	Raw Asym	Stat. Error	# HePos Events	HePos Charge	PosHe LT	 # Neg Events	HeNeg Charge	NegHe LT
0.14	 0	0	0	0.35667	0.9712	0	0	0
0.17	 -1	4.16177e+18	79	0.35667	0.9712	132	0	0
0.2	 -1	2.51808e+20	1672	0.35667	0.9712	1497	0	0
0.23	 -1	1.79418e+21	5680	0.35667	0.9712	6044	0	0
0.26	 -1	8.65967e+21	16342	0.35667	0.9712	17136	0	0
0.29	 -1	2.28353e+22	31686	0.35667	0.9712	32200	0	0
0.32	 -1	2.97816e+22	36983	0.35667	0.9712	39305	0	0
0.35	 -1	2.12865e+22	29615	0.35667	0.9712	31368	0	0
0.38	 1	0	2	0.35667	0.9712	0	0	0
0.41	 0	0	0	0.35667	0.9712	0	0	0
