Dataset:	Longitudinal 3He, Q2=1.0
Runs:	22393-22438
Omega	Asymmetry	Stat. Error	# HePos Events	HePos Charge	PosHe LT	# Neg Events	HeNeg Charge	NegHe LT
0.335	0	1	6	0.64588	0.9386	0	0	0
0.365	0	1	1160	0.64588	0.9386	0	0	0
0.395	0	1	15351	0.64588	0.9386	0	0	0
0.425	0	1	92774	0.64588	0.9386	0	0	0
0.455	0	1	311632	0.64588	0.9386	0	0	0
0.485	0	1	722113	0.64588	0.9386	0	0	0
0.515	0	1	1.08753e+06	0.64588	0.9386	0	0	0
0.545	0	1	1.23914e+06	0.64588	0.9386	0	0	0
0.575	0	1	1.13789e+06	0.64588	0.9386	0	0	0
0.605	0	1	904889	0.64588	0.9386	0	0	0
