Runs:	22380-22461
Omega	Asymmetry	Stat. Error	# HePos Events	HePos Charge	PosHe LT	# Neg Events	HeNeg Charge	NegHe LT
0.335	0	1	0	0.00916	0.9198	0	0.00058	0.9388
0.365	0.804718	0.19095	143	0.00916	0.9198	1	0.00058	0.9388
0.395	0.0682742	0.0667955	1508	0.00916	0.9198	85	0.00058	0.9388
0.425	0.0827625	0.0344707	5772	0.00916	0.9198	316	0.00058	0.9388
0.455	0.0517474	0.0243366	11104	0.00916	0.9198	647	0.00058	0.9388
0.485	0.0492349	0.0190998	17964	0.00916	0.9198	1052	0.00058	0.9388
0.515	0.00180799	0.0159691	23931	0.00916	0.9198	1541	0.00058	0.9388
0.545	0.0485954	0.0151169	28651	0.00916	0.9198	1680	0.00058	0.9388
0.575	0.0506769	0.0145913	30843	0.00916	0.9198	1801	0.00058	0.9388
0.605	0.0554861	0.0149441	29603	0.00916	0.9198	1712	0.00058	0.9388
