Runs:	22441-22441
Omega	Asymmetry	Stat. Error	# HePos Events	HePos Charge	PosHe LT	# Neg Events	HeNeg Charge	NegHe LT
0.335	0	1	0	0.00719	0.9261	0	0.01182	0.9324
0.365	0	1	0	0.00719	0.9261	2	0.01182	0.9324
0.395	0.246742	0.664057	2	0.00719	0.9261	2	0.01182	0.9324
0.425	0.36062	0.309398	9	0.00719	0.9261	7	0.01182	0.9324
0.455	0.00445834	0.0112479	6266	0.00719	0.9261	10279	0.01182	0.9324
0.485	0.00296932	0.00556872	25531	0.00719	0.9261	42007	0.01182	0.9324
0.515	0.013253	0.00524359	29047	0.00719	0.9261	46819	0.01182	0.9324
0.545	0.0110057	0.00521682	29291	0.00719	0.9261	47425	0.01182	0.9324
0.575	0.00673691	0.00566745	24729	0.00719	0.9261	40382	0.01182	0.9324
0.605	0.0102204	0.00797933	12512	0.00719	0.9261	20290	0.01182	0.9324
