Dataset:	Transverse 3He, Q2=1.0
Runs:	22447-22489
Omega	Asymmetry	Stat. Error	# HePos Events	HePos Charge	PosHe LT	# Neg Events	HeNeg Charge	NegHe LT
0.335	0	1	0	0	0	8	0.78916	0.9398
0.365	0	1	0	0	0	1592	0.78916	0.9398
0.395	0	1	0	0	0	18965	0.78916	0.9398
0.425	0	1	0	0	0	116072	0.78916	0.9398
0.455	0	1	0	0	0	390356	0.78916	0.9398
0.485	0	1	0	0	0	898172	0.78916	0.9398
0.515	0	1	0	0	0	1.35919e+06	0.78916	0.9398
0.545	0	1	0	0	0	1.54275e+06	0.78916	0.9398
0.575	0	1	0	0	0	1.41858e+06	0.78916	0.9398
0.605	0	1	0	0	0	1.12536e+06	0.78916	0.9398
