Dataset:	Transverse 3He, Q2=1.0
Runs:	22447-22489
Omega	Raw Asym	Stat. Error	# HePos Events	HePos Charge	PosHe LT	 # Neg Events	HeNeg Charge	NegHe LT
0.365	 0	0	0	0	0	0	0.76615	0.9399
0.395	 1	7.70319e+19	711	0	0	726	0.76615	0.9399
0.425	 1	5.84962e+21	12813	0	0	12955	0.76615	0.9399
0.455	 1	6.60029e+22	64531	0	0	65098	0.76615	0.9399
0.485	 1	3.02611e+23	178111	0	0	179642	0.76615	0.9399
0.515	 1	6.05968e+23	282949	0	0	285415	0.76615	0.9399
0.545	 1	6.53892e+23	297539	0	0	300411	0.76615	0.9399
0.575	 1	4.75731e+23	240379	0	0	243315	0.76615	0.9399
0.605	 1	1.48978e+23	110833	0	0	112222	0.76615	0.9399
0.635	 0	0	0	0	0	0	0.76615	0.9399
