Dataset:	Hydrogen, Q2=1.0
Runs:	20791-20792
Omega	Raw Asym	Stat. Error	# HePos Events	HePos Charge	PosHe LT	 # Neg Events	HeNeg Charge	NegHe LT
0.365	 0	0	0	0.03322	0.8851	0	0	0
0.395	 0	0	0	0.03322	0.8851	0	0	0
0.425	 0	0	0	0.03322	0.8851	0	0	0
0.455	 1	0	937	0.03322	0.8851	0	0	0
0.485	 1	0	15309	0.03322	0.8851	0	0	0
0.515	 1	0	14020	0.03322	0.8851	0	0	0
0.545	 1	0	10486	0.03322	0.8851	0	0	0
0.575	 1	0	2622	0.03322	0.8851	0	0	0
0.605	 0	0	0	0.03322	0.8851	0	0	0
0.635	 0	0	0	0.03322	0.8851	0	0	0
