Dataset:	Vertical 3He, Q2=0.1
Runs:	20487-20511
Omega	Raw Asym	Stat. Error	# HePos Events	HePos Charge	PosHe LT	 # Neg Events	HeNeg Charge	NegHe LT
0.016	 1	0	115	0.0903	0.9949	0	0.08766	0.9943
0.028	 1	0	1422	0.0903	0.9949	0	0.08766	0.9943
0.04	 0.336471	0.0137525	6193	0.0903	0.9949	2983	0.08766	0.9943
0.052	 -1	0	0	0.0903	0.9949	2096	0.08766	0.9943
0.064	 0.335231	0.0284938	1443	0.0903	0.9949	697	0.08766	0.9943
0.076	 0.398669	0.0247031	1882	0.0903	0.9949	785	0.08766	0.9943
0.088	 0.285412	0.0188327	3317	0.0903	0.9949	1789	0.08766	0.9943
0.1	 0.247287	0.0217455	2480	0.0903	0.9949	1452	0.08766	0.9943
0.112	 1	0	2158	0.0903	0.9949	0	0.08766	0.9943
0.124	 0	0	0	0.0903	0.9949	0	0.08766	0.9943
