Dataset:	Vertical 3He, Q2=0.1
Runs:	20487-20540
Omega	Asymmetry	Stat. Error	# HePos Events	HePos Charge	PosHe LT	# Neg Events	HeNeg Charge	NegHe LT
-0.0065	0.155299	0.356938	8	0.14369	0.2187	7	0.1447	0.2599
0.0065	0	1	0	0.14369	0.2187	0	0.1447	0.2599
0.0195	-0.0425204	0.162993	33	0.14369	0.2187	43	0.1447	0.2599
0.0325	0.0893385	0.00067293	2.17272e+06	0.14369	0.2187	2.17369e+06	0.1447	0.2599
0.0455	0.0893519	0.000407868	5.91436e+06	0.14369	0.2187	5.91684e+06	0.1447	0.2599
0.0585	0.0892023	0.000312921	1.0047e+07	0.14369	0.2187	1.00542e+07	0.1447	0.2599
0.0715	0.0896904	0.00028741	1.19135e+07	0.14369	0.2187	1.19103e+07	0.1447	0.2599
0.0845	0.0881476	0.000306932	1.04357e+07	0.14369	0.2187	1.04655e+07	0.1447	0.2599
0.0975	0.0880657	0.000401399	6.10143e+06	0.14369	0.2187	6.11983e+06	0.1447	0.2599
0.1105	0	1	0	0.14369	0.2187	0	0.1447	0.2599
