Dataset:      Vertical 3He, Q2=0.1
Runs:   20533-20538
Omega   Asymmetry       Stat. Error     # HePos Events  HePos Charge    PosHe LT        # Neg Events    HeNeg Charge    NegHe LT
-0.0075        0  1     1      0.02334       0.9896  0    0.02786     0.9903
0.0075        0  1     0      0.02334       0.9896  0    0.02786     0.9903
0.0225        0  1     0      0.02334       0.9896  1    0.02786     0.9903
0.0375        -0.0189526  0.00978827     9391      0.02334       0.9896  11651    0.02786     0.9903
0.0525        0.00567397  0.00592741     26234      0.02334       0.9896  30983    0.02786     0.9903
0.0675        0.00201257  0.00451444     45070      0.02334       0.9896  53620    0.02786     0.9903
0.0825        -0.00162656  0.00413735     53474      0.02334       0.9896  64083    0.02786     0.9903
0.0975        0.00443959  0.00439404     47683      0.02334       0.9896  56454    0.02786     0.9903
0.1125        6.26925e-05  0.00574227     27805      0.02334       0.9896  33209    0.02786     0.9903
0.1275        0  1     0      0.02334       0.9896  0    0.02786     0.9903
