Dataset:	Vertical 3He, Q2=0.1
Runs:	20487-20538
Run #	Asymmetry	Stat. Error	# HePos Events	HePos Charge	PosHe LT	# Neg Events	HeNeg Charge	NegHe LT
20487	0.0656825	0.0896806	135	0.00508	0.9999	113	0.00485	0.9999
20488	0.1097	0.106844	166	0.00712	0.9999	52	0.00278	0.9999
20489	0.0337446	0.0895636	183	0.0065	0.9999	90	0.00342	0.9999
20490	0.12565	0.0939459	104	0.00406	0.9935	116	0.00583	0.9935
20492	-0.00491918	0.0898795	118	0.00473	0.9935	130	0.00516	0.9935
20493	-0.0522648	0.0979547	169	0.00721	0.9935	70	0.00269	0.9934
20494	0.0463017	0.0889243	93	0.00316	0.9935	180	0.00671	0.9935
20498	-0.0876037	0.0898605	113	0.00499	0.9935	132	0.00489	0.9935
20499	-0.0879886	0.0951393	65	0.00259	0.9934	218	0.00728	0.9936
20500	0.0846739	0.0933766	102	0.00401	0.9935	126	0.00587	0.9935
20501	0.113438	0.109781	164	0.00721	0.9935	48	0.00265	0.9936
20502	-0.0473824	0.0924048	125	0.00551	0.9935	109	0.00437	0.9935
20503	0.00311472	0.0931185	103	0.00437	0.9935	130	0.00555	0.9935
20504	-0.0186134	0.0797859	159	0.0051	0.9935	155	0.00479	0.9935
20505	-0.103776	0.0879554	102	0.00433	0.9936	161	0.00555	0.9935
20506	0.0692579	0.0918735	185	0.00656	0.9936	81	0.0033	0.9935
20507	0.00996656	0.087789	203	0.00681	0.9935	90	0.00308	0.9935
20508	-0.467252	0.0910133	39	0.00358	0.9936	189	0.0063	0.9935
20509	0	0	0	0.00866	0.9936	0	0.00747	0.9936
20510	0	0	0	0.00409	0.9935	0	0.00581	0.9936
20511	0	0	0	0.00194	0.9935	0	0.00437	0.9936
20534	-0.00125403	0.0526187	374	0.00159	0.9905	349	0.00148	0.9905
