Dataset:	Vertical 3He, Q2=1.0
Runs:	20596-20789
Omega	Asymmetry	Stat. Error	# HePos Events	HePos Charge	PosHe LT	# Neg Events	HeNeg Charge	NegHe LT
0.335	-0.624591	0.202919	5	1.17065	0.9273	21	1.13591	0.9275
0.365	0.00403338	0.0219264	2120	1.17065	0.9273	2041	1.13591	0.9275
0.395	-0.00619338	0.00531609	35694	1.17065	0.9273	35074	1.13591	0.9275
0.425	-0.00984256	0.00201963	246373	1.17065	0.9273	243867	1.13591	0.9275
0.455	-0.00488482	0.00108083	864670	1.17065	0.9273	847430	1.13591	0.9275
0.485	-0.00519352	0.000706555	2.02271e+06	1.17065	0.9273	1.98361e+06	1.13591	0.9275
0.515	-0.00273175	0.000571353	3.10106e+06	1.17065	0.9273	3.02617e+06	1.13591	0.9275
0.545	-0.00229672	0.000534145	3.5497e+06	1.17065	0.9273	3.46096e+06	1.13591	0.9275
0.575	-0.000964356	0.000560318	3.23018e+06	1.17065	0.9273	3.14105e+06	1.13591	0.9275
0.605	0.00100859	0.000633607	2.53116e+06	1.17065	0.9273	2.45163e+06	1.13591	0.9275
