For Plane 3, to align the peaks to ADC Channel 2500 the High Voltages should be: 
The HV for N3-1L = -1701.82            The HV for N3-1R = -1584.56
The HV for N3-2L = -1791.81            The HV for N3-2R = -1441.82
The HV for N3-3L = -1510.33            The HV for N3-3R = -1478.7
The HV for N3-4L = -1553.05            The HV for N3-4R = -1505.1
The HV for N3-5L = -1689.86            The HV for N3-5R = -1515.74
The HV for N3-6L = -1648.74            The HV for N3-6R = -1485.47
The HV for N3-7L = -2233.62            The HV for N3-7R = -2107.48
The HV for N3-8L = -2363.68            The HV for N3-8R = -2117.72
The HV for N3-9L = -4704.41            The HV for N3-9R = -2326.63
The HV for N3-10L = -2159.85            The HV for N3-10R = -2341.9
The HV for N3-11L = -1776.65            The HV for N3-11R = -1806.04
The HV for N3-12L = -1797.22            The HV for N3-12R = -1769.48
The HV for N3-13L = -2004.71            The HV for N3-13R = -2082.55
The HV for N3-14L = -2255.25            The HV for N3-14R = -2281.17
The HV for N3-15L = -2160.23            The HV for N3-15R = -2228.16
The HV for N3-16L = -1620.12            The HV for N3-16R = -1595.03
The HV for N3-17L = -1562.29            The HV for N3-17R = -1548.17
The HV for N3-18L = -1532.26            The HV for N3-18R = -1613.07
The HV for N3-19L = -1557.8            The HV for N3-19R = -1501.06
The HV for N3-20L = -1514.5            The HV for N3-20R = -3285.98
The HV for N3-21L = -1468.3            The HV for N3-21R = -1469.16
The HV for N3-22L = -1556.45            The HV for N3-22R = -1487.86
