For Plane 0, to align the peaks to ADC Channel 2500 the High Voltages should be: 
The HV for V-1L = -1113.4            The HV for V-1R = -1058.84
The HV for V-2L = -1103.24            The HV for V-2R = -1040.41
The HV for V-3L = -1105.33            The HV for V-3R = -1102.29
The HV for V-4L = -1163.65            The HV for V-4R = -1064.42
The HV for V-5L = -1165.62            The HV for V-5R = -1076.2
The HV for V-6L = -1062.23            The HV for V-6R = -1099.82
The HV for V-7L = -1066.82            The HV for V-7R = -2115.16
The HV for V-8L = -1068.32            The HV for V-8R = -1063.33
The HV for V-9L = -2113.24            The HV for V-9R = -1070.89
The HV for V-10L = -1324.84            The HV for V-10R = -1052.25
The HV for V-11L = -1058.84            The HV for V-11R = -1062.47
The HV for V-12L = -1051.33            The HV for V-12R = -1060.09
The HV for V-13L = -1070            The HV for V-13R = -1021.78
The HV for V-14L = -1087.87            The HV for V-14R = -1105.54
The HV for V-15L = -1071.2            The HV for V-15R = -1071.7
The HV for V-16L = -1134.59            The HV for V-16R = -1067.87
The HV for V-17L = -1073.09            The HV for V-17R = -1108.15
The HV for V-18L = -1066            The HV for V-18R = -1113.34
The HV for V-19L = -1022.09            The HV for V-19R = -1102.89
The HV for V-20L = -1035.07            The HV for V-20R = -1239.3
The HV for V-21L = -1180.08            The HV for V-21R = -1054.91
The HV for V-22L = -1030            The HV for V-22R = -1120.47
The HV for V-23L = -1146.94            The HV for V-23R = -1431.26
The HV for V-24L = -1208.94            The HV for V-24R = -1112.29
The HV for V-25L = -1068.4            The HV for V-25R = -1207.84
The HV for V-26L = -1060.29            The HV for V-26R = -1112.27
The HV for V-27L = -2111.32            The HV for V-27R = -1111.9
The HV for V-28L = -1081.53            The HV for V-28R = -1112.17
The HV for V-29L = -1276.04            The HV for V-29R = -1117.96
The HV for V-30L = -1154.44            The HV for V-30R = -1106.49
The HV for V-31L = -1033.37            The HV for V-31R = -1165.33
The HV for V-32L = -1075.55            The HV for V-32R = -1020.4
